 Created on  6Sep2024 at 22:11:16 
    13    13    13
  2197   100
    5.000000
    0.947307    0.186782   -0.260235
    0.742452    0.264058   -0.615661
    0.766114    0.358374   -0.533514
    0.976240    0.199487   -0.084625
    0.828940    0.222957   -0.512980
    0.905328    0.196525   -0.376509
    0.685265    0.117496   -0.718754
    0.857600    0.298072   -0.419136
    0.721513    0.034274   -0.691552
    0.865286    0.237808   -0.441279
    0.763748    0.376003   -0.524700
    0.739700    0.182690   -0.647664
    0.727152    0.352418   -0.589110
    0.930041    0.271144   -0.248000
    0.781012    0.338451   -0.524853
    0.860852    0.201474   -0.467272
    0.825584   -0.067654   -0.560208
    0.880528    0.182525   -0.437441
    0.918558    0.102559   -0.381750
    0.752621    0.372685   -0.542833
    0.855659    0.447035   -0.260783
    0.862277    0.058458   -0.503051
    0.827691    0.465645   -0.313215
    0.851221    0.042887   -0.523052
    0.889230    0.158897   -0.428978
    0.871087    0.011504   -0.490993
    0.820426    0.318269   -0.474980
    0.804712    0.208864   -0.555710
    0.915812    0.052774   -0.398124
    0.821318    0.176790   -0.542385
    0.820946    0.241563   -0.517393
    0.869626   -0.052480   -0.490915
    0.780813    0.448880   -0.434555
    0.785402    0.178368   -0.592730
    0.787747    0.349312   -0.507381
    0.959665    0.080034   -0.269515
    0.753627    0.309449   -0.579904
    0.804075    0.128708   -0.580429
    0.845838    0.047131   -0.531353
    0.804704   -0.013619   -0.593520
    0.856971   -0.188091   -0.479815
    0.828790    0.071292   -0.555000
    0.937996    0.231669   -0.257861
    0.931766   -0.075274   -0.355170
    0.859124    0.076586   -0.506004
    0.841952    0.347081   -0.413099
    0.855828    0.238253   -0.459123
    0.776518    0.127669   -0.617026
    0.924933    0.232973   -0.300369
    0.731866    0.418051   -0.538150
    0.701049    0.409188   -0.584034
    0.731159    0.316554   -0.604318
    0.905007    0.312821   -0.288281
    0.923789   -0.158687   -0.348471
    0.878930   -0.029094   -0.476063
    0.889816   -0.182760   -0.418123
    0.939832   -0.179201   -0.290864
    0.917630    0.177957   -0.355368
    0.952262    0.090445   -0.291575
    0.849177    0.344908   -0.399922
    0.954157    0.152732   -0.257404
    0.725059    0.175123   -0.666049
    0.651390    0.020534   -0.758465
    0.905475   -0.083360   -0.416133
    0.924192    0.062309   -0.376811
    0.968979    0.119345   -0.216419
    0.931522   -0.064289   -0.357957
    0.766397    0.338164   -0.546151
    0.792481    0.072490   -0.605574
    0.786055   -0.169119   -0.594572
    0.853029    0.072566   -0.516794
    0.954503    0.181171   -0.236856
    0.832457    0.190285   -0.520391
    0.869065    0.067602   -0.490057
    0.695206    0.038328   -0.717788
    0.849024   -0.016273   -0.528103
    0.911364    0.281148   -0.300619
    0.866592    0.304966   -0.394987
    0.850098    0.142099   -0.507091
    0.702874    0.403942   -0.585491
    0.635685    0.191061   -0.747931
    0.777279    0.467615   -0.420919
    0.823640    0.178766   -0.538201
    0.935960    0.133795   -0.325695
    0.841592    0.381758   -0.382078
    0.857979    0.383621   -0.341623
    0.777786    0.503008   -0.376871
    0.684753    0.099893   -0.721897
    0.920017    0.224150   -0.321443
    0.972461    0.182657   -0.144762
    0.903121    0.152568   -0.401367
    0.861279    0.339473   -0.378095
    0.680937    0.454195   -0.574484
    0.729100    0.076204   -0.680152
    0.964674    0.156684   -0.211789
    0.836351    0.169663   -0.521278
    0.740355    0.440860   -0.507461
    0.883436    0.294992   -0.364033
    0.836643    0.163101   -0.522903
    0.953392    0.215176   -0.211525
    0.974401    0.205678   -0.090771
    0.873506    0.158397   -0.460324
    0.880346    0.112545   -0.460786
    0.767928   -0.003281   -0.640528
    0.798555    0.382803   -0.464513
    0.776076    0.139113   -0.615105
    0.879545    0.344637   -0.328063
    0.918140    0.294663   -0.264939
    0.640111   -0.193714   -0.743460
    0.744880    0.386877   -0.543580
    0.683249    0.373812   -0.627244
    0.801684    0.135315   -0.582230
    0.892180    0.004291   -0.451660
    0.867474   -0.057199   -0.494183
    0.779209    0.190943   -0.596971
    0.718253   -0.244191   -0.651524
    0.900213    0.392111   -0.189381
    0.823510    0.282057   -0.492216
    0.776391    0.225769   -0.588425
    0.888086    0.192385   -0.417483
    0.906103    0.338540   -0.253709
    0.881235    0.366338   -0.298700
    0.801934    0.418370   -0.426462
    0.851978    0.237191   -0.466769
    0.948878    0.262127   -0.175840
    0.841535    0.189062   -0.506037
    0.727452    0.291378   -0.621218
    0.714150    0.020630   -0.699689
    0.653682    0.240986   -0.717374
    0.537477    0.036203   -0.842501
    0.815912   -0.017359   -0.577915
    0.633309    0.057694   -0.771745
    0.795711    0.375032   -0.475600
    0.876727    0.441378   -0.191141
    0.964840    0.146121   -0.218478
    0.679262    0.610905   -0.406692
    0.922851    0.300137   -0.241380
    0.956277    0.267771   -0.117617
    0.731441    0.030070   -0.681241
    0.735349    0.185527   -0.651799
    0.862351    0.049028   -0.503931
    0.781754    0.023435   -0.623147
    0.891402    0.172538   -0.419087
    0.941270   -0.099558   -0.322645
    0.533430    0.422665   -0.732671
    0.647221    0.572735   -0.503070
    0.640722    0.224722   -0.734150
    0.848459    0.260925   -0.460474
    0.835995    0.364793   -0.409925
    0.899341    0.354492   -0.255972
    0.608738    0.570813   -0.551008
    0.723767    0.123877   -0.678834
    0.824849    0.013044   -0.565203
    0.742779    0.317548   -0.589442
    0.762681    0.292866   -0.576669
    0.870714    0.306812   -0.384348
    0.734645    0.454399   -0.503804
    0.766738    0.386773   -0.512366
    0.813865    0.442800   -0.376235
    0.856107    0.479106   -0.193749
    0.907852    0.187357   -0.375102
    0.720699    0.533891   -0.442214
    0.779044    0.337796   -0.528190
    0.779405    0.327923   -0.533849
    0.707107    0.406272   -0.578743
    0.820174    0.329171   -0.467934
    0.670503    0.157010   -0.725102
    0.894976    0.223922   -0.385846
    0.931877   -0.002343   -0.362766
    0.950364    0.035574   -0.309099
    0.780022    0.046166   -0.624047
    0.878705    0.199445   -0.433704
    0.779567    0.240138   -0.578455
    0.727649    0.118598   -0.675619
    0.777852    0.178228   -0.602645
    0.763814    0.319806   -0.560636
    0.808525    0.380829   -0.448616
    0.763418    0.304740   -0.569496
    0.754589    0.129795   -0.643232
    0.737899   -0.006948   -0.674875
    0.885981    0.323522   -0.332220
    0.862848    0.313130   -0.396792
    0.901320    0.164177   -0.400834
    0.729796   -0.110519   -0.674672
    0.679957    0.475881   -0.557849
    0.779503    0.258397   -0.570619
    0.780501    0.208540   -0.589347
    0.825059    0.537499   -0.174279
    0.694535    0.522168   -0.494937
    0.805932    0.331227   -0.490675
    0.700603    0.204688   -0.683563
    0.943312   -0.277364   -0.182296
    0.808000    0.118739   -0.577094
    0.791043    0.457108   -0.406576
    0.800137    0.213528   -0.560523
    0.774954    0.435418   -0.458101
    0.908443    0.231391   -0.348122
    0.806036   -0.032535   -0.590972
    0.838492    0.185212   -0.512472
    0.879308    0.397526   -0.262280
    0.774249    0.493917   -0.395707
