 Created on  6Sep2024 at 22:38:43 
    13    13    13
  2197    40
    1.000000
    0.948719   -0.003829   -0.316098
    0.927336   -0.055610   -0.370075
    0.923979   -0.176221   -0.339425
    0.786523   -0.305156   -0.536900
    0.841396   -0.406211   -0.356436
    0.878849   -0.388457   -0.276994
    0.861319   -0.035444   -0.506827
    0.895089   -0.121032   -0.429147
    0.861519   -0.172289   -0.477600
    0.878463   -0.320850   -0.354060
    0.885129   -0.119818   -0.449656
    0.928706   -0.042639   -0.368358
    0.856642   -0.270544   -0.439284
    0.855497    0.151393   -0.495181
    0.859890   -0.320273   -0.397511
    0.872204   -0.170582   -0.458435
    0.926545   -0.170060   -0.335551
    0.652122   -0.472458   -0.592892
    0.819762   -0.065067   -0.568996
    0.767020   -0.173258   -0.617789
    0.729702    0.154765   -0.666020
    0.912471   -0.029165   -0.408101
    0.941749    0.136767   -0.307253
    0.783384    0.039377   -0.620289
    0.935413   -0.223791   -0.273715
    0.876947   -0.160828   -0.452877
    0.813532   -0.146537   -0.562755
    0.819196   -0.225174   -0.527461
    0.853981   -0.207397   -0.477183
    0.884115   -0.246347   -0.397057
    0.722661   -0.171025   -0.669710
    0.832485   -0.127440   -0.539191
    0.680733   -0.322228   -0.657854
    0.662501    0.012678   -0.748953
    0.876881    0.035030   -0.479429
    0.728356   -0.096252   -0.678405
    0.928841    0.050166   -0.367067
    0.778605   -0.179093   -0.601415
    0.948936   -0.191155   -0.250957
    0.775076   -0.477896   -0.413368
    0.772124   -0.308457   -0.555589
    0.894869   -0.314081   -0.317116
    0.832802   -0.114765   -0.541544
    0.854282    0.038599   -0.518375
    0.798445   -0.403191   -0.447127
    0.517493   -0.258651   -0.815659
    0.708110    0.187917   -0.680637
    0.856394    0.073143   -0.511115
    0.797413   -0.056260   -0.600805
    0.795984   -0.151303   -0.586104
    0.916782   -0.106488   -0.384929
    0.900759   -0.116206   -0.418485
    0.792186   -0.386668   -0.472154
    0.949994   -0.173918   -0.259353
    0.911485   -0.048806   -0.408428
    0.875455   -0.313330   -0.367971
    0.836651   -0.281779   -0.469697
    0.925426    0.021954   -0.378291
    0.906708    0.068631   -0.416137
    0.812160    0.119818   -0.570999
    0.777736   -0.264093   -0.570422
    0.873283   -0.121635   -0.471785
    0.819255   -0.164762   -0.549249
    0.856712   -0.327509   -0.398476
    0.873122   -0.225347   -0.432293
    0.876510    0.023028   -0.480832
    0.920180   -0.335944   -0.201023
    0.942619   -0.248701   -0.222749
    0.869986   -0.144778   -0.471342
    0.915653   -0.161632   -0.368042
    0.904146   -0.415537   -0.099240
    0.819071    0.058193   -0.570734
    0.779842   -0.121824   -0.614007
    0.830188   -0.045941   -0.555587
    0.897338   -0.133734   -0.420594
    0.742613    0.063877   -0.666668
    0.843354    0.003706   -0.537346
    0.849680    0.040386   -0.525749
    0.874271   -0.130736   -0.467502
    0.944320   -0.162580   -0.286054
    0.767231    0.074198   -0.637064
    0.713718   -0.343533   -0.610403
    0.858102   -0.378595   -0.346883
    0.999724    0.011970    0.020196
    0.808629   -0.390909   -0.439669
    0.909841   -0.092142   -0.404598
    0.860860    0.167676   -0.480422
    0.648089    0.215462   -0.730450
    0.925025    0.022439   -0.379244
    0.843669    0.207471   -0.495155
    0.793258   -0.073699   -0.604409
    0.938735   -0.041947   -0.342076
    0.799159   -0.271318   -0.536405
    0.749029   -0.195380   -0.633074
    0.926249   -0.112909   -0.359604
    0.842710   -0.474773   -0.253831
    0.939494   -0.101985   -0.327033
    0.760641   -0.287896   -0.581844
    0.891041    0.118725   -0.438122
    0.781123   -0.028534   -0.623724
    0.740796    0.331149   -0.584433
    0.810564   -0.239742   -0.534331
    0.910026   -0.263561   -0.319983
    0.914560   -0.118580   -0.386677
    0.954869   -0.050803   -0.292649
    0.825559   -0.346942   -0.445066
    0.948520   -0.168079   -0.268439
    0.860419   -0.415864   -0.294512
    0.879798   -0.108960   -0.462692
    0.726699    0.053583   -0.684863
    0.697818   -0.314817   -0.643382
    0.847903   -0.114784   -0.517576
    0.733409    0.315221   -0.602285
    0.757582   -0.012669   -0.652618
    0.607349   -0.310806   -0.731113
    0.913870   -0.127168   -0.385577
    0.724775   -0.420365   -0.545889
    0.763224   -0.470867   -0.442463
    0.815456   -0.363205   -0.450681
    0.890250   -0.137981   -0.434070
    0.930985   -0.230212   -0.283318
    0.821403   -0.028694   -0.569626
    0.820710    0.117493   -0.559133
    0.814688   -0.333348   -0.474513
    0.753247   -0.173531   -0.634434
    0.785467   -0.123158   -0.606526
    0.719048   -0.077717   -0.690601
    0.732912   -0.131268   -0.667539
    0.878003   -0.061496   -0.474688
    0.779391   -0.343817   -0.523775
    0.919491   -0.212581   -0.330674
    0.772121   -0.421249   -0.475793
    0.837762    0.019390   -0.545691
    0.894164   -0.246664   -0.373668
    0.834225   -0.141285   -0.533017
    0.866705   -0.173829   -0.467554
    0.707364   -0.295203   -0.642255
    0.807999   -0.308221   -0.502133
    0.869780   -0.199561   -0.451284
    0.849815    0.130333   -0.510713
    0.919833   -0.152559   -0.361433
    0.713636   -0.425614   -0.556396
    0.660893   -0.138501   -0.737590
    0.807731   -0.253366   -0.532331
    0.809599   -0.059142   -0.583996
    0.861166    0.000184   -0.508323
    0.871326    0.029882   -0.489793
    0.940452   -0.226328   -0.253626
    0.905075    0.087410   -0.416172
    0.890375   -0.160883   -0.425851
    0.940296   -0.004136   -0.340334
    0.836078    0.021876   -0.548174
    0.934305   -0.045019   -0.353621
    0.860919   -0.249835   -0.443172
    0.879224   -0.340661   -0.333041
    0.834390   -0.215085   -0.507476
    0.825531   -0.318513   -0.465884
    0.783670   -0.005570   -0.621152
    0.861373    0.012298   -0.507823
    0.949071   -0.024589   -0.314102
    0.878121   -0.185487   -0.441019
    0.819351   -0.382528   -0.427009
    0.821017   -0.111074   -0.559994
    0.880602    0.222685   -0.418272
    0.871896   -0.183315   -0.454085
    0.869670   -0.241687   -0.430420
    0.878240   -0.186189   -0.440487
    0.884820   -0.264014   -0.383913
    0.777869   -0.287233   -0.558943
    0.957334   -0.143525   -0.250823
    0.838207   -0.361746   -0.408104
    0.857629   -0.432858   -0.277681
    0.721447   -0.006408   -0.692440
    0.950369   -0.261713   -0.168241
    0.956775   -0.074213   -0.281201
    0.984544   -0.141891   -0.102666
    0.775347   -0.198814   -0.599425
    0.951670   -0.287452   -0.108149
    0.917093   -0.164160   -0.363308
    0.978756   -0.189159   -0.079093
    0.943585   -0.184593   -0.274903
    0.982943   -0.043439   -0.178707
    0.877956   -0.160962   -0.450871
    0.914288   -0.120098   -0.386852
    0.762184   -0.286419   -0.580551
    0.831229   -0.185871   -0.523938
    0.845827   -0.276231   -0.456370
    0.894810   -0.142376   -0.423136
    0.860236   -0.371434   -0.349330
    0.780124   -0.135191   -0.610843
