 Created on  4Sep2024 at 01:14:34 
    10    10    10
  2000   100
   80.000000
    0.219726    0.041449    0.974681
   -0.687438    0.189306   -0.701137
   -0.092686    0.511278    0.854403
   -0.351554    0.557598   -0.751994
    0.574215    0.341990    0.743854
    0.240811    0.046696   -0.969448
   -0.066909   -0.432434    0.899180
    0.030410   -0.127292   -0.991399
    0.212810   -0.008705    0.977055
    0.190221    0.453257   -0.870847
   -0.221647    0.713513    0.664659
    0.397608   -0.284284   -0.872405
   -0.280396   -0.502409    0.817902
    0.560016   -0.021423   -0.828205
   -0.209479    0.103314    0.972340
   -0.014737    0.096111   -0.995262
   -0.233856   -0.187613    0.953998
   -0.431076    0.365612   -0.824925
   -0.491188    0.733355    0.470025
   -0.252299   -0.159970   -0.954335
    0.126081    0.505916    0.853318
    0.102655    0.462367   -0.880727
   -0.211428    0.213959    0.953687
    0.541893   -0.070911   -0.837451
    0.277124   -0.076807    0.957759
   -0.098712   -0.043419   -0.994168
    0.501976    0.191574    0.843397
    0.305465    0.075272   -0.949223
    0.057646    0.444178    0.894082
    0.334807    0.531763   -0.777903
   -0.049630    0.686722    0.725224
    0.592914    0.136143   -0.793674
    0.281147   -0.179916    0.942649
   -0.436698   -0.295850   -0.849569
   -0.271103   -0.122302    0.954749
    0.377081   -0.258260   -0.889445
   -0.418424   -0.076559    0.905020
   -0.289669    0.618287   -0.730625
   -0.496876    0.801816    0.331973
    0.258638   -0.215381   -0.941657
   -0.211438   -0.215029    0.953444
    0.330632   -0.366529   -0.869677
    0.094386    0.719343    0.688212
    0.351619    0.661214   -0.662691
    0.116363   -0.050231    0.991936
   -0.113748    0.608461   -0.785390
    0.194966    0.279261    0.940214
    0.864317   -0.327247   -0.381922
   -0.353362   -0.148929    0.923556
    0.059739   -0.649732   -0.757812
   -0.621725    0.099116    0.776939
    0.182680    0.090899   -0.978961
   -0.337566    0.054116    0.939745
    0.729623    0.475274   -0.491696
   -0.523503    0.050353    0.850534
   -0.097554    0.274323   -0.956677
   -0.247332   -0.853218    0.459181
   -0.574210   -0.818092    0.031751
    0.384276    0.212032    0.898540
   -0.455161   -0.581450   -0.674348
    0.278169    0.274899    0.920355
   -0.508974   -0.699587   -0.501521
    0.168459   -0.770143    0.615225
   -0.462868   -0.519479   -0.718258
   -0.193921    0.916828    0.349029
    0.398972   -0.275639   -0.874554
   -0.307353    0.261902    0.914845
   -0.066442   -0.441744   -0.894677
   -0.568733    0.189968    0.800284
    0.720985    0.020352   -0.692652
   -0.626900   -0.364009    0.688835
   -0.160747   -0.398444   -0.902996
   -0.177789    0.007097    0.984043
    0.095944    0.636632   -0.765176
    0.371642    0.457318    0.807925
    0.021530   -0.085596   -0.996097
    0.756092    0.473587    0.451708
   -0.052527   -0.559905   -0.826890
   -0.657082   -0.024100    0.753434
   -0.346370    0.024868   -0.937768
   -0.202081    0.349225    0.914989
    0.485211   -0.295275   -0.823033
   -0.094902   -0.686353    0.721050
    0.381418   -0.892467   -0.240878
   -0.328532   -0.124305    0.936277
    0.746313   -0.159218   -0.646271
   -0.395132    0.590325    0.703838
   -0.105097   -0.817841   -0.565766
   -0.447363    0.169057    0.878229
    0.450262    0.403521   -0.796514
   -0.685577   -0.282167    0.671093
    0.021143    0.308151   -0.951102
   -0.854703   -0.354744    0.378999
