 Created on  6Dec2024 at 16:52:30 
    10    10    10
  2000    80
   46.000000
   -0.112557   -0.175864    0.977958
    0.030581    0.118400   -0.992495
   -0.210627   -0.296064   -0.931656
    0.007616   -0.490022    0.871677
    0.487687    0.078851   -0.869451
    0.211180    0.127269   -0.969126
    0.287153    0.480257   -0.828792
    0.518563    0.136019    0.844151
   -0.155505   -0.263394   -0.952072
   -0.165872   -0.263684    0.950241
    0.282287   -0.157124    0.946375
   -0.158552    0.353056    0.922070
   -0.053393   -0.031794   -0.998067
    0.323571    0.323952    0.889020
   -0.142356   -0.000149   -0.989816
    0.399684   -0.314253   -0.861103
   -0.096924    0.237890    0.966444
   -0.113881    0.196314    0.973906
   -0.327699   -0.070484   -0.942149
    0.113248   -0.290437    0.950169
    0.175575   -0.102348   -0.979131
   -0.003826    0.469695   -0.882820
    0.240049    0.124762    0.962710
    0.059955    0.108342   -0.992304
    0.087804   -0.455939    0.885669
   -0.319993   -0.483791    0.814587
    0.328409   -0.463772    0.822839
    0.455271    0.376039   -0.807046
   -0.016342   -0.182930   -0.982990
    0.131337    0.224916   -0.965486
   -0.067434    0.016632   -0.997585
   -0.164011    0.111128   -0.980179
   -0.367604   -0.168657   -0.914561
   -0.409233   -0.053421    0.910865
    0.055077    0.227425   -0.972237
   -0.236678    0.233617    0.943084
   -0.099307   -0.002258    0.995054
   -0.035077   -0.179413    0.983148
   -0.085584    0.170952    0.981555
    0.162691    0.014854    0.986565
    0.252666   -0.164990   -0.953382
    0.216710   -0.180356   -0.959431
   -0.561906    0.159570   -0.811664
   -0.094997   -0.028555    0.995068
   -0.288161   -0.038263   -0.956817
   -0.536157    0.209799    0.817631
    0.418503    0.037506    0.907441
    0.124440   -0.410400    0.903375
   -0.532370   -0.487623   -0.691958
   -0.214121   -0.198085    0.956512
    0.017395    0.086189   -0.996127
    0.200656   -0.156501   -0.967081
    0.314665    0.051393    0.947811
   -0.595631    0.011706    0.803173
   -0.139035   -0.194457   -0.971008
    0.136411   -0.084208    0.987067
   -0.045096    0.117054    0.992101
   -0.335751    0.540412   -0.771509
    0.280061    0.075381   -0.957018
    0.386697   -0.214861    0.896828
    0.119223    0.237248    0.964106
   -0.451551   -0.336719    0.826270
    0.102285    0.280451    0.954403
    0.331351   -0.099891   -0.938205
    0.288615   -0.122533   -0.949572
    0.018571    0.042013   -0.998944
    0.609441    0.307604   -0.730726
   -0.461436    0.128836   -0.877769
    0.182507    0.226282   -0.956811
   -0.323327   -0.019373    0.946089
   -0.005625    0.036723   -0.999310
   -0.281908   -0.210249    0.936122
    0.014792   -0.125019    0.992044
   -0.151907   -0.199546    0.968042
   -0.379271   -0.296243    0.876581
    0.045471    0.616038    0.786403
   -0.292239    0.469307   -0.833275
   -0.065170   -0.234972   -0.969815
    0.127015   -0.173319    0.976641
    0.308606   -0.322113   -0.894989
    0.056955    0.186645   -0.980775
    0.550168    0.092524    0.829912
   -0.034764    0.141101    0.989385
   -0.042448   -0.019591    0.998907
   -0.241173    0.023940   -0.970187
   -0.348436    0.385450    0.854413
   -0.432361   -0.132855   -0.891859
    0.270275   -0.123839   -0.954786
    0.131005    0.036570    0.990707
   -0.043838    0.015123    0.998924
   -0.476426    0.259655   -0.839998
   -0.008442   -0.404918    0.914314
   -0.008527    0.076670    0.997020
   -0.051297   -0.226222   -0.972724
   -0.231734   -0.652030   -0.721912
   -0.594534   -0.189087    0.781521
    0.107183    0.208039   -0.972230
    0.122767   -0.273629   -0.953968
    0.238142   -0.676441   -0.696933
    0.355644    0.062491    0.932530
   -0.435127   -0.173952   -0.883405
   -0.052886   -0.161652   -0.985430
    0.593442    0.084037   -0.800478
    0.444948    0.064655   -0.893219
   -0.036472   -0.075670   -0.996466
    0.169592    0.509072    0.843851
   -0.378905    0.127808   -0.916567
   -0.384965    0.296586    0.873979
   -0.060502   -0.386345    0.920368
   -0.252258   -0.120044    0.960185
    0.038254    0.269374    0.962276
   -0.181500   -0.142188    0.973057
   -0.165911   -0.545548   -0.821493
   -0.165372   -0.182016   -0.969290
    0.173652   -0.658016    0.732707
   -0.172838    0.179747   -0.968410
    0.368942   -0.315833    0.874146
    0.503959   -0.288768    0.814026
    0.014216    0.059134    0.998149
    0.589456    0.766581   -0.254746
    0.089992    0.513124   -0.853584
    0.225032    0.599478    0.768106
   -0.430539    0.014228   -0.902460
   -0.317343    0.197390   -0.927540
   -0.179174    0.171890    0.968685
    0.108157   -0.004434    0.994124
    0.337679    0.404728   -0.849805
    0.004685    0.036595    0.999319
   -0.306165    0.156729    0.938988
    0.124771   -0.592260   -0.796028
   -0.044807    0.245428   -0.968379
   -0.323480   -0.307998    0.894705
    0.110340    0.260877   -0.959046
   -0.059576   -0.244476   -0.967824
   -0.481273    0.136572   -0.865866
    0.749604   -0.018726    0.661622
    0.209398   -0.118802   -0.970587
    0.265359   -0.090859    0.959859
   -0.523448    0.169607    0.835006
   -0.223786   -0.146342    0.963589
   -0.183030   -0.249054   -0.951037
   -0.519963    0.031523    0.853607
   -0.331824    0.284367   -0.899460
    0.265307    0.273682    0.924506
    0.133842    0.227560    0.964522
   -0.170836   -0.416660    0.892866
    0.194720   -0.016158    0.980726
   -0.207103   -0.336867    0.918493
    0.010368    0.230948   -0.972911
    0.561521    0.325443   -0.760777
    0.314395   -0.381823    0.869119
   -0.160402   -0.261062   -0.951902
    0.069479   -0.358873    0.930797
    0.145416    0.567336    0.810545
   -0.232416    0.150918    0.960836
    0.371983   -0.220466   -0.901678
   -0.169799   -0.352240   -0.920378
    0.129403    0.414265   -0.900910
   -0.319137    0.582035   -0.747922
    0.199993   -0.255444   -0.945913
    0.486655   -0.509676    0.709505
   -0.200034    0.143555    0.969215
   -0.118906    0.606797   -0.785913
   -0.023799    0.078404    0.996638
   -0.327605    0.072741    0.942010
   -0.060993   -0.022276   -0.997890
   -0.040702    0.316091   -0.947855
    0.197539   -0.022307    0.980041
    0.587903    0.354091   -0.727316
   -0.238077    0.095387   -0.966551
   -0.292788    0.180019   -0.939079
   -0.158341   -0.094464    0.982855
    0.938693   -0.187929   -0.289028
   -0.073630   -0.357118    0.931153
    0.069371    0.056060    0.996015
    0.703950    0.184629    0.685832
   -0.159606    0.044898   -0.986159
   -0.395047    0.300145    0.868246
   -0.162409   -0.018227   -0.986555
    0.073291    0.089348   -0.993300
   -0.097228    0.411222    0.906335
    0.249101    0.141328    0.958110
    0.466503   -0.228000    0.854629
    0.196723   -0.008909    0.980419
    0.148460   -0.301570   -0.941815
   -0.034710    0.571965   -0.819543
    0.165195   -0.077872    0.983182
   -0.426374   -0.320155   -0.845994
   -0.196423    0.144025    0.969884
   -0.000555   -0.147503    0.989061
   -0.284055   -0.097770    0.953810
   -0.035056   -0.225364   -0.973644
    0.376259   -0.403136   -0.834213
    0.523133    0.379283   -0.763202
    0.295025    0.042124   -0.954561
    0.333433   -0.463784   -0.820809
    0.169481    0.005699   -0.985517
   -0.165635    0.214177    0.962649
    0.080674    0.062582   -0.994774
   -0.085254   -0.023048    0.996093
   -0.197207    0.065594    0.978165
    0.065654   -0.476797   -0.876558
    0.545559   -0.163227    0.822023
    0.094598    0.165025    0.981742
   -0.258279   -0.087928   -0.962061
    0.296910   -0.145302   -0.943786
    0.250659    0.112730   -0.961489
    0.802476    0.361169   -0.474962
   -0.505225   -0.324296    0.799737
    0.398989   -0.269131    0.876571
   -0.044388    0.230651    0.972024
   -0.586956   -0.688608    0.425795
    0.145903    0.144868    0.978634
   -0.067054   -0.471478   -0.879325
   -0.064245    0.328435   -0.942339
   -0.111646    0.328268   -0.937963
   -0.215221    0.251700    0.943571
    0.283872    0.136474   -0.949100
    0.029084   -0.141190   -0.989555
    0.067683    0.203295    0.976775
   -0.068042   -0.321776   -0.944368
   -0.529136   -0.225246    0.818095
    0.491790   -0.155405    0.856733
   -0.104474   -0.278731   -0.954670
    0.430625   -0.424284    0.796584
    0.331443   -0.726931    0.601429
    0.160185    0.127902   -0.978766
    0.318807   -0.059630   -0.945942
   -0.254458    0.356196    0.899097
    0.037678   -0.050529   -0.998012
   -0.381081    0.156466    0.911206
   -0.041290   -0.155578    0.986960
   -0.000018    0.059528    0.998227
    0.461983   -0.046547   -0.885666
   -0.017917    0.153969   -0.987913
