 Created on  6Dec2024 at 17:07:29 
    10    10    10
  2000    80
   46.000000
   -0.099495   -0.226504    0.968915
   -0.177943   -0.090387   -0.979881
    0.239608    0.376597    0.894853
    0.030103    0.386639    0.921740
   -0.034303    0.312379    0.949338
   -0.030754    0.220000   -0.975015
   -0.472328    0.529071   -0.704975
    0.007240    0.194212   -0.980933
   -0.196658   -0.397826    0.896136
    0.005797   -0.119244   -0.992848
    0.261017   -0.199072   -0.944585
   -0.010234   -0.423752    0.905721
    0.468587   -0.049815    0.882012
   -0.020143    0.293123   -0.955862
    0.613081    0.112093   -0.782027
   -0.240184    0.322612    0.915551
   -0.300262   -0.174851    0.937694
   -0.083923   -0.664179   -0.742848
    0.552710   -0.150798   -0.819617
   -0.559657   -0.003671    0.828716
    0.588911   -0.470808    0.656905
   -0.013187   -0.035416    0.999286
   -0.202659   -0.022450    0.978992
    0.265051   -0.187533    0.945822
   -0.421442   -0.256042    0.869959
    0.199175    0.228339   -0.952990
   -0.144082    0.580820   -0.801179
    0.354372    0.021230   -0.934863
   -0.105851   -0.267107    0.957836
   -0.419020    0.113983   -0.900794
    0.242371    0.139062   -0.960166
   -0.042361   -0.717418    0.695354
   -0.008939   -0.472374    0.881353
    0.130657    0.549967   -0.824903
   -0.292372   -0.555144   -0.778675
   -0.209060   -0.075660    0.974972
    0.116579   -0.171159   -0.978322
    0.481298   -0.093868   -0.871516
   -0.009174    0.181603   -0.983329
    0.098787    0.401091    0.910696
    0.060703   -0.571325    0.818476
    0.189546   -0.339703   -0.921235
    0.209317    0.444668   -0.870894
   -0.359061   -0.390997   -0.847465
   -0.055465    0.017624    0.998305
    0.013183   -0.035724   -0.999275
    0.111267    0.106701   -0.988046
   -0.272642    0.020107    0.961905
   -0.364148   -0.497604    0.787265
   -0.097545    0.191571   -0.976620
    0.651289   -0.288321   -0.701922
   -0.059050    0.296586    0.953179
    0.222440   -0.108471    0.968894
   -0.182572   -0.078089   -0.980086
   -0.017241    0.513991   -0.857622
   -0.705656    0.010647    0.708474
   -0.259319   -0.117728    0.958589
   -0.082892    0.546245   -0.833514
   -0.234184   -0.317193    0.918992
    0.123861    0.455847    0.881398
   -0.035995   -0.484126    0.874258
   -0.311163    0.481558   -0.819317
   -0.048379    0.410430   -0.910608
   -0.199341   -0.454106   -0.868361
    0.671161   -0.243848    0.700057
    0.471367   -0.006977   -0.881910
    0.085175    0.214645   -0.972971
   -0.551073   -0.234716    0.800767
   -0.095571    0.198512    0.975428
    0.152487    0.283613   -0.946737
   -0.216753    0.100361   -0.971054
    0.033074   -0.344926    0.938047
    0.290127   -0.026966   -0.956608
    0.188644   -0.128360   -0.973621
   -0.049920   -0.336654   -0.940304
   -0.063539    0.149601    0.986703
    0.203452   -0.108700    0.973032
   -0.092085    0.012741    0.995670
   -0.594723    0.130218    0.793315
   -0.526740    0.051438    0.848468
   -0.363811   -0.289327    0.885399
   -0.109617    0.025080   -0.993657
   -0.328592   -0.117972   -0.937075
   -0.136145   -0.161598    0.977420
   -0.221051   -0.536115    0.814688
    0.427166   -0.154854   -0.890814
   -0.017302    0.207375   -0.978108
    0.198630    0.147081    0.968975
   -0.208192   -0.266614    0.941049
   -0.661783    0.046593   -0.748247
    0.151162   -0.154147   -0.976416
   -0.133414    0.253839    0.958001
    0.191030   -0.424164    0.885208
    0.156018    0.130268   -0.979126
   -0.055211    0.055663    0.996922
   -0.130929    0.347452    0.928512
    0.526019   -0.027187    0.850038
   -0.113809   -0.251575   -0.961123
    0.170409   -0.178214   -0.969124
    0.311799    0.173464   -0.934180
    0.178523    0.032498    0.983399
   -0.059283    0.440463   -0.895811
    0.172877    0.320436   -0.931362
    0.139448    0.153565    0.978250
    0.258878   -0.239604    0.935720
   -0.033886   -0.098922   -0.994518
    0.383528   -0.059178   -0.921631
   -0.278522   -0.437690    0.854900
    0.487379   -0.042762   -0.872143
    0.338601    0.637817   -0.691765
   -0.129543    0.563024   -0.816225
    0.247921   -0.250148    0.935928
    0.087561    0.207421    0.974325
    0.590610   -0.098503    0.800923
    0.447283   -0.094097    0.889429
   -0.198061   -0.181546    0.963231
   -0.144174   -0.006855    0.989529
    0.278063   -0.251043   -0.927177
    0.186213   -0.042317   -0.981598
    0.059295    0.269493   -0.961175
    0.117501    0.200165    0.972691
   -0.604076   -0.375337   -0.703004
    0.066426    0.578596   -0.812905
   -0.078291   -0.206512    0.975307
    0.361343   -0.218374    0.906501
   -0.005000   -0.306020   -0.952012
   -0.238802    0.227006   -0.944162
    0.064853   -0.431349    0.899851
    0.461081    0.252514    0.850671
   -0.098380    0.329263   -0.939099
   -0.097130   -0.470371    0.877107
    0.220564    0.448156    0.866318
   -0.511037   -0.532220    0.674969
   -0.065427    0.242393   -0.967970
   -0.498054    0.508301   -0.702547
    0.455596   -0.328561   -0.827333
   -0.273786    0.058599    0.960004
    0.132131    0.082379   -0.987803
    0.035100   -0.068320   -0.997046
   -0.133331    0.256253    0.957370
   -0.088464   -0.228315    0.969560
    0.040623   -0.123829   -0.991472
    0.439611   -0.596904   -0.671154
    0.254976    0.013498    0.966853
    0.161638   -0.195356   -0.967321
    0.043118   -0.067060   -0.996817
   -0.018396    0.150825   -0.988389
   -0.027639   -0.187956    0.981789
   -0.434472   -0.381384    0.815954
   -0.027419    0.150528    0.988225
    0.050198    0.811299    0.582472
    0.633448    0.168046    0.755318
   -0.197358    0.348446    0.916316
   -0.152045    0.242062   -0.958274
   -0.015583    0.037275   -0.999184
    0.198798   -0.581156   -0.789137
   -0.477009    0.041139    0.877935
    0.175124   -0.292357   -0.940138
   -0.242343    0.115426   -0.963300
    0.319585    0.477382    0.818518
   -0.357548   -0.007677    0.933863
    0.150697   -0.599217   -0.786275
   -0.260932    0.103375   -0.959806
   -0.409460   -0.050554    0.910926
   -0.057364   -0.514168    0.855769
   -0.023913   -0.322417   -0.946296
   -0.258790   -0.212543    0.942260
    0.100852    0.217527    0.970830
   -0.170330   -0.394099    0.903146
   -0.116767    0.270420   -0.955635
   -0.001852   -0.189123   -0.981952
   -0.286450   -0.515486   -0.807602
    0.019572   -0.328314    0.944366
    0.303833    0.305045   -0.902570
   -0.294630   -0.033364   -0.955029
    0.329062    0.190923    0.924806
    0.285841    0.077254    0.955158
    0.080916   -0.018316   -0.996553
    0.178980    0.036603   -0.983172
    0.424062   -0.052723    0.904097
    0.331700   -0.094146   -0.938676
    0.047478    0.346194   -0.936961
   -0.527609    0.418571   -0.739207
    0.196828    0.041739    0.979549
    0.040487    0.357485    0.933041
   -0.254233   -0.220366    0.941703
   -0.564777   -0.721315    0.400914
   -0.212640   -0.036034    0.976466
   -0.017899    0.149906    0.988538
   -0.174482   -0.837786   -0.517369
    0.286903    0.177748   -0.941325
    0.274490   -0.242032   -0.930632
   -0.013189   -0.078653    0.996815
    0.114047    0.640154   -0.759734
   -0.052834   -0.327411   -0.943404
   -0.011700   -0.133487    0.990982
    0.689531   -0.208933    0.693465
   -0.130008    0.300457   -0.944893
    0.059210   -0.462538   -0.884620
   -0.127503   -0.153533    0.979883
   -0.255178    0.035411   -0.966245
    0.131313   -0.572286   -0.809473
   -0.106571   -0.025914   -0.993967
    0.469967   -0.439303   -0.765600
    0.183033    0.140546    0.973009
    0.358003   -0.189204    0.914350
   -0.330388    0.222236    0.917308
   -0.267266    0.243083    0.932459
   -0.271141    0.061905   -0.960547
   -0.454770    0.165573   -0.875083
   -0.215139    0.381118    0.899146
   -0.534253   -0.399213   -0.745119
   -0.429304    0.379623   -0.819502
   -0.036456   -0.001398    0.999334
    0.150712    0.115300   -0.981831
    0.207784   -0.333630   -0.919520
    0.540001    0.280085    0.793694
   -0.050058    0.271831    0.961042
   -0.572665   -0.263614    0.776249
    0.122955   -0.298561    0.946437
   -0.335356   -0.286749   -0.897391
   -0.389422    0.083303    0.917285
    0.508087    0.055812   -0.859496
    0.463144   -0.030123    0.885771
    0.349705   -0.013589   -0.936761
   -0.127886   -0.380041    0.916086
   -0.639464   -0.241269    0.729983
    0.391125    0.055607    0.918656
   -0.282397   -0.410527   -0.867018
   -0.407524    0.567613    0.715360
   -0.239150    0.047305    0.969830
   -0.465611   -0.421530   -0.778151
    0.075443    0.365946    0.927573
   -0.033778   -0.061093    0.997560
