 Created on  5Nov2024 at 15:15:29 
     9     9     7
  2268    80
   60.000000
   -0.541204   -0.122221    0.831962
    0.625347   -0.382293   -0.680289
    0.033969   -0.435937   -0.899336
   -0.231636    0.693461    0.682244
   -0.436215    0.003644    0.899835
    0.872170    0.317052   -0.372555
    0.009020   -0.621254   -0.783557
   -0.312962   -0.386880    0.867398
   -0.866058    0.310217    0.392058
    0.641002    0.122416   -0.757714
    0.362544   -0.605718   -0.708285
   -0.455795    0.531900    0.713676
   -0.150762    0.403644    0.902409
   -0.147923   -0.243765   -0.958487
   -0.228514    0.011426   -0.973474
   -0.185056    0.150297    0.971167
    0.595702    0.474122    0.648342
   -0.118613    0.906786   -0.404562
   -0.683362    0.149557   -0.714597
    0.137906   -0.021016    0.990222
   -0.421617   -0.180313    0.888666
    0.037989    0.087045   -0.995480
    0.298479    0.572533   -0.763620
    0.104363   -0.526296    0.843873
   -0.276760    0.054054    0.959417
    0.605874    0.131532   -0.784612
   -0.432342    0.158985   -0.887583
   -0.338108    0.130477    0.932018
   -0.265801   -0.624929    0.734039
    0.031837    0.441326   -0.896782
   -0.515336   -0.400419   -0.757689
   -0.081375   -0.813751    0.575489
    0.366182   -0.065900    0.928207
    0.865896    0.086942   -0.492611
    0.148502   -0.178376   -0.972692
    0.035422   -0.303620    0.952135
   -0.000473    0.422660    0.906288
    0.693895    0.544837   -0.470810
    0.722883    0.179397   -0.667275
    0.066192   -0.354361    0.932763
   -0.083560   -0.419019    0.904125
   -0.010317   -0.240965   -0.970479
   -0.114127    0.166156   -0.979473
   -0.277977    0.570466    0.772850
   -0.075204   -0.272596    0.959185
    0.293415   -0.078415   -0.952764
    0.455807   -0.207062   -0.865659
    0.034286   -0.276764    0.960326
    0.744857   -0.328895    0.580531
   -0.092339    0.670749   -0.735914
   -0.564386    0.594501   -0.572745
   -0.090203   -0.140013    0.986032
    0.319109    0.103799    0.942017
    0.523916   -0.776842   -0.349326
   -0.005390    0.346663   -0.937974
    0.511522    0.470155    0.719235
   -0.121958    0.103066    0.987170
   -0.606553   -0.030651   -0.794452
   -0.083377    0.554040   -0.828304
   -0.178587    0.439333    0.880394
   -0.269456   -0.123770    0.955026
   -0.151204    0.452697   -0.878751
   -0.075105    0.459302   -0.885099
   -0.248465   -0.810568    0.530325
    0.036726    0.456581    0.888923
    0.250348   -0.387755   -0.887114
   -0.325322   -0.602455   -0.728844
   -0.432376    0.005014    0.901680
    0.029163    0.212796    0.976661
    0.198581   -0.334540   -0.921221
    0.504650    0.142549   -0.851474
   -0.022217    0.312881    0.949532
    0.135873    0.424852    0.895008
   -0.401062    0.045786   -0.914906
    0.287778   -0.283643   -0.914730
    0.658276    0.282250    0.697860
   -0.762734    0.624023    0.169801
   -0.274526    0.335957   -0.900982
   -0.322193   -0.714063   -0.621534
   -0.817935    0.374657    0.436594
    0.121728   -0.182292    0.975680
    0.436387    0.198200   -0.877658
   -0.290331    0.230455   -0.928762
   -0.228104   -0.201304    0.952599
    0.574547    0.516122    0.635227
   -0.159685    0.105914   -0.981470
    0.708455    0.666500   -0.232097
    0.579839    0.334980    0.742681
    0.259041   -0.405144    0.876787
    0.147691    0.970873   -0.188661
    0.195060    0.622836   -0.757646
    0.354640   -0.672389    0.649711
    0.395699   -0.242224    0.885861
   -0.008361    0.590497   -0.806996
   -0.541034   -0.192410   -0.818695
    0.355282   -0.322338    0.877424
   -0.043787    0.242622    0.969132
   -0.141265   -0.329991   -0.933354
    0.055960   -0.588044   -0.806891
    0.412684    0.142358    0.899681
   -0.115676    0.137825    0.983679
   -0.952320    0.264370   -0.152302
   -0.106744   -0.230362   -0.967233
    0.108373   -0.722117    0.683229
    0.410660    0.417084    0.810802
    0.926925   -0.071630   -0.368345
   -0.445075    0.037214   -0.894720
    0.477455    0.150608    0.865652
    0.041149   -0.423059    0.905167
    0.295365   -0.310478   -0.903528
    0.495917   -0.359303   -0.790549
    0.374473   -0.276876    0.884935
   -0.351319    0.580723    0.734395
   -0.042119   -0.518974   -0.853752
    0.528929    0.022628   -0.848364
    0.206049   -0.152559    0.966576
    0.368792    0.428036    0.825092
    0.845345   -0.395384    0.359254
    0.637120   -0.501023   -0.585708
    0.405262    0.124123    0.905735
    0.625374   -0.284316    0.726685
    0.104827    0.981937   -0.157515
    0.902237   -0.383613   -0.197001
    0.520776    0.570893    0.634723
    0.575077   -0.374332    0.727435
   -0.487161    0.321425   -0.812010
   -0.560878    0.348041   -0.751188
   -0.034439    0.008845    0.999368
    0.033716   -0.153414    0.987587
   -0.893077    0.032995   -0.448691
   -0.650298   -0.169506   -0.740527
    0.159286   -0.289932    0.943699
   -0.111336   -0.288272    0.951054
   -0.040974   -0.791604   -0.609660
   -0.365054   -0.088168   -0.926802
   -0.406913    0.445423    0.797509
   -0.215297   -0.667773    0.712549
   -0.027865   -0.307242   -0.951223
    0.142517   -0.391996   -0.908861
   -0.190889    0.512269    0.837342
    0.706845    0.197763    0.679161
    0.261402   -0.383625   -0.885721
    0.492960    0.037318   -0.869251
   -0.612504   -0.343162    0.712094
    0.450249    0.197571    0.870770
   -0.527379    0.095238   -0.844276
   -0.542229    0.479603   -0.689904
    0.046587   -0.546652    0.836063
    0.288590   -0.447066    0.846669
    0.179342   -0.043420   -0.982828
    0.843054    0.086537   -0.530822
   -0.220571   -0.296931    0.929075
    0.016028   -0.269887    0.962759
    0.281737    0.201840   -0.938022
    0.132418    0.109111   -0.985170
    0.635892   -0.286801    0.716510
   -0.014617    0.234790    0.971936
    0.143374   -0.628419   -0.764548
   -0.025735   -0.747267   -0.664025
   -0.257535   -0.286968    0.922673
   -0.319370    0.491315    0.810316
    0.531962   -0.164998   -0.830537
    0.788741    0.297054   -0.538188
   -0.083846   -0.083791    0.992950
    0.395529    0.329343    0.857374
   -0.181558   -0.432430   -0.883199
    0.180414   -0.446890   -0.876208
   -0.611899    0.502346    0.610924
   -0.017754    0.814799    0.579471
   -0.441889   -0.851554   -0.282115
    0.315487   -0.412812   -0.854432
    0.342018   -0.005371    0.939678
   -0.227040   -0.034040    0.973290
   -0.240002   -0.488578   -0.838863
    0.313879   -0.586479   -0.746674
    0.013574   -0.280520    0.959752
    0.116163   -0.898221    0.423916
   -0.029615    0.171254   -0.984782
    0.321203    0.236664   -0.916962
   -0.466449   -0.784934    0.407803
    0.246707    0.129797    0.960358
    0.471189   -0.080936   -0.878311
    0.432775   -0.300431   -0.849969
    0.390444   -0.492017    0.778121
    0.033626   -0.285859    0.957682
    0.358199   -0.000918   -0.933645
    0.488720   -0.636090   -0.597112
   -0.024604   -0.525704    0.850312
    0.825127    0.010000    0.564858
    0.327800   -0.672669   -0.663373
    0.388518   -0.316234   -0.865477
    0.620467    0.575474    0.532776
   -0.454388   -0.316357    0.832736
   -0.157209   -0.608461   -0.777856
    0.564156   -0.382380   -0.731788
    0.038209    0.469357    0.882181
   -0.464451    0.222997    0.857063
    0.252317   -0.062636   -0.965615
    0.329038   -0.146123   -0.932943
   -0.288984    0.678998    0.674870
   -0.195199   -0.467038    0.862423
   -0.218823   -0.143764   -0.965116
