 Created on  4Sep2024 at 15:04:44 
     5     9    12
  2160    80
   11.000000
    0.236861   -0.152086   -0.959566
   -0.392696   -0.569794    0.721889
    0.189995    0.323891    0.926821
   -0.099949   -0.012370   -0.994916
    0.234186    0.403578   -0.884467
    0.362996    0.037924    0.931019
    0.141875   -0.075024    0.987037
   -0.375457    0.179892   -0.909215
   -0.157358    0.055138   -0.986001
   -0.131554   -0.176255    0.975514
    0.363969   -0.305523    0.879876
   -0.305563    0.061101   -0.950209
    0.100283   -0.220928   -0.970121
   -0.040101   -0.661900    0.748518
   -0.495951    0.510415    0.702502
    0.224384    0.023526   -0.974217
    0.053335   -0.143127   -0.988266
    0.189227    0.067739    0.979594
    0.116933   -0.310275    0.943428
   -0.439096    0.511042   -0.738939
    0.535826    0.444949   -0.717573
   -0.345478    0.121080    0.930583
    0.244648   -0.342611    0.907064
    0.030735    0.122735   -0.991963
   -0.230984   -0.077748   -0.969846
   -0.184101    0.243699    0.952217
   -0.248629    0.319442    0.914407
   -0.017537   -0.297849   -0.954452
   -0.037455    0.208336   -0.977340
    0.159120   -0.395499    0.904578
    0.158541    0.009906    0.987303
    0.175026    0.306149   -0.935756
   -0.082121    0.160731   -0.983576
   -0.383018   -0.203457    0.901057
    0.136932   -0.047192    0.989456
    0.485529   -0.578432   -0.655498
   -0.160671    0.122704   -0.979351
   -0.006348   -0.244839    0.969543
   -0.126211   -0.010808    0.991945
   -0.284730    0.349832   -0.892494
    0.177811   -0.063277   -0.982028
   -0.541197    0.142238    0.828779
   -0.032433    0.210436    0.977069
   -0.746744    0.002782   -0.665106
   -0.011836   -0.067849   -0.997625
   -0.027535    0.022752    0.999362
    0.068152   -0.033964    0.997097
   -0.061365   -0.397865   -0.915389
    0.569043    0.216801   -0.793213
   -0.067903   -0.262401    0.962567
    0.579806    0.015724    0.814603
   -0.303609   -0.164422   -0.938503
    0.296026   -0.074588   -0.952263
   -0.453942   -0.245687    0.856490
    0.238505    0.342474    0.908750
    0.258279   -0.101415   -0.960732
   -0.394559   -0.399951   -0.827262
    0.266339    0.133146    0.954639
    0.043657   -0.342860    0.938371
   -0.053036    0.164272   -0.984988
    0.625098   -0.257845   -0.736728
    0.000537    0.563342    0.826223
    0.118364   -0.065711    0.990794
   -0.296411   -0.281549   -0.912617
   -0.300864    0.219590   -0.928042
    0.226809    0.066865    0.971641
   -0.132797    0.261486    0.956028
    0.218862   -0.297675   -0.929241
    0.173348   -0.242941   -0.954427
   -0.366013   -0.009438    0.930562
    0.126187   -0.289249    0.948900
   -0.789426   -0.130776   -0.599754
   -0.119868    0.013711   -0.992695
   -0.454474    0.038363    0.889934
    0.085969   -0.042379    0.995396
   -0.135838   -0.274686   -0.951891
   -0.175604    0.195460   -0.964862
    0.508923    0.187910    0.840052
   -0.128721   -0.119212    0.984489
    0.149174    0.624160   -0.766923
   -0.317527   -0.162165   -0.934280
    0.049229    0.442348    0.895491
    0.120380   -0.191722    0.974039
   -0.064677    0.139346   -0.988129
   -0.231421    0.016043   -0.972721
   -0.458566   -0.454479    0.763653
   -0.266163   -0.110388    0.957587
    0.160892   -0.018221   -0.986804
    0.428854   -0.378835   -0.820103
   -0.204429    0.113117    0.972324
   -0.358136    0.259452    0.896896
    0.294622    0.164474   -0.941354
    0.188921    0.340658   -0.921011
   -0.282012   -0.070957    0.956783
   -0.446243   -0.219462    0.867585
   -0.385499    0.155350   -0.909537
   -0.356909   -0.364049   -0.860281
    0.522346    0.190137    0.831265
   -0.195974    0.012582    0.980528
   -0.529616    0.667142   -0.523860
    0.165137   -0.183452   -0.969059
   -0.114026    0.411309    0.904336
    0.294697   -0.062562    0.953541
    0.073636   -0.066991   -0.995033
   -0.017178   -0.357841   -0.933625
   -0.357501   -0.287491    0.888562
   -0.087722   -0.165356    0.982325
    0.065096   -0.308765   -0.948908
   -0.132489    0.004937   -0.991172
   -0.079349   -0.076761    0.993887
   -0.148392   -0.032494    0.988395
   -0.120618    0.035013   -0.992081
    0.076748   -0.148827   -0.985880
   -0.281062   -0.029396    0.959239
    0.034292    0.529889    0.847373
   -0.195150   -0.122108   -0.973142
   -0.318512   -0.176508   -0.931341
    0.131417    0.174877    0.975781
   -0.545336   -0.371202    0.751544
    0.245524    0.267008   -0.931893
    0.216482    0.050613   -0.974974
   -0.228927    0.231969    0.945401
    0.082422    0.208235    0.974600
    0.006149   -0.431488   -0.902098
   -0.150667    0.081609   -0.985210
    0.246864   -0.043651    0.968067
   -0.324702   -0.402829    0.855744
   -0.208611    0.207303   -0.955776
    0.140259    0.044723   -0.989104
   -0.015965    0.127935    0.991654
    0.169810   -0.257282    0.951300
   -0.087364    0.206313   -0.974578
   -0.016168   -0.355055   -0.934706
   -0.124198    0.224521    0.966522
    0.228009   -0.358573    0.905228
   -0.270806    0.152933   -0.950408
    0.437852   -0.038495   -0.898223
    0.133462    0.154427    0.978949
   -0.327477   -0.540203    0.775203
    0.125056   -0.424867   -0.896576
    0.329496    0.081169   -0.940661
   -0.302845    0.405538    0.862452
   -0.248961    0.040868    0.967651
    0.313621   -0.099592   -0.944311
    0.091944    0.126094   -0.987748
   -0.118173    0.308090    0.943989
   -0.318835    0.001523    0.947809
    0.609435   -0.119034   -0.783850
    0.184898   -0.352291   -0.917444
    0.424227    0.429578    0.797179
    0.159968   -0.374635    0.913268
    0.234175    0.365576   -0.900842
    0.366244    0.044752   -0.929442
    0.227459   -0.104112    0.968206
    0.197827   -0.429157    0.881299
   -0.109178    0.155673   -0.981757
    0.113280   -0.119619   -0.986336
    0.233632    0.129397    0.963677
    0.256185   -0.228546    0.939221
    0.054347    0.012488   -0.998444
    0.373272   -0.191582   -0.907725
   -0.351530    0.384316    0.853656
   -0.233528   -0.126118    0.964136
    0.423693    0.500653   -0.754872
   -0.016112   -0.191708   -0.981320
    0.014572   -0.060942    0.998035
    0.224682    0.047035    0.973296
   -0.073300   -0.118399   -0.990257
    0.061232   -0.015350   -0.998006
