 Created on  4Sep2024 at 19:02:01 
    12    12     9
  2592   100
  276.000000
   -0.498461   -0.827566    0.258208
    0.754270   -0.290757   -0.588674
    0.131576   -0.809474   -0.572223
    0.823532   -0.048177   -0.565220
    0.146884   -0.709373   -0.689359
    0.769062   -0.581408   -0.265535
   -0.142858    0.012545   -0.989664
   -0.975863   -0.194981    0.098353
    0.012940   -0.992356   -0.122727
    0.680545    0.700495   -0.214863
    0.109193    0.644070   -0.757133
    0.167576   -0.944090   -0.283922
   -0.112739   -0.903968    0.412470
    0.260420   -0.732951   -0.628461
   -0.156230   -0.987352   -0.026987
   -0.022055   -0.801076   -0.598156
   -0.072322   -0.994696    0.073140
    0.344885   -0.460494   -0.817924
   -0.013017   -0.742471   -0.669751
   -0.437969   -0.872540   -0.216464
    0.968381    0.072203   -0.238801
   -0.000526   -0.652233   -0.758019
    0.271441   -0.393824   -0.878193
    0.459537   -0.103703   -0.882083
   -0.415314   -0.813409   -0.407282
    0.553076   -0.641957   -0.531036
   -0.442001    0.148006   -0.884720
    0.543526   -0.229264   -0.807476
    0.787879    0.233417   -0.569880
   -0.045264   -0.726239   -0.685951
    0.079352   -0.405987   -0.910427
    0.045694   -0.356907   -0.933022
    0.404858   -0.194002   -0.893562
    0.462366   -0.886619    0.011149
    0.406408   -0.732112   -0.546666
   -0.342901   -0.770744   -0.537004
   -0.800421   -0.578771   -0.156043
    0.179498   -0.250758   -0.951263
   -0.039286   -0.893264   -0.447813
   -0.899895   -0.250575   -0.356934
   -0.141546   -0.134264   -0.980784
   -0.259099   -0.627541   -0.734207
    0.657642   -0.748800   -0.082500
   -0.095799   -0.849971   -0.518046
    0.339966   -0.395733   -0.853123
    0.386163   -0.842259   -0.376136
    0.482055   -0.605620   -0.633126
   -0.170041   -0.584961   -0.793036
    0.073677   -0.761271   -0.644235
    0.068310   -0.651430   -0.755627
    0.600144   -0.080095   -0.795872
    0.058121   -0.594010   -0.802355
    0.995918   -0.028202   -0.085748
    0.753489   -0.535174   -0.381894
    0.483589   -0.554956   -0.676879
    0.451646   -0.431550   -0.780885
   -0.631471   -0.233994   -0.739251
    0.276889   -0.755343   -0.593962
    0.912664   -0.017471   -0.408338
   -0.481782   -0.440892   -0.757298
   -0.232862   -0.106871   -0.966620
   -0.041271   -0.946232   -0.320846
   -0.091695   -0.801388   -0.591074
   -0.385600   -0.404069   -0.829482
   -0.229902   -0.087062   -0.969312
    0.105532   -0.971148   -0.213858
   -0.202155   -0.968186   -0.147479
   -0.064993   -0.550576   -0.832251
    0.941075   -0.079850   -0.328635
    0.649631   -0.742341    0.164044
    0.338799   -0.296759   -0.892832
    0.601324   -0.652650   -0.460932
    0.060627   -0.582607   -0.810490
   -0.254008   -0.496958   -0.829767
   -0.069919   -0.130277   -0.989009
    0.623211   -0.634477   -0.457216
    0.444873   -0.428419   -0.786476
    0.445362   -0.405171   -0.798430
    0.515496    0.092224   -0.851915
   -0.022098   -0.034467   -0.999161
    0.911322   -0.248823   -0.327991
    0.282536    0.078126   -0.956070
   -0.409628    0.227154   -0.883519
    0.560736   -0.767414   -0.310888
    0.202786   -0.979175    0.009669
