 Created on  1Aug2024 at 19:52:59 
    10    10    10
  2000    80
   41.000000
   -0.116194   -0.732166    0.671142
    0.429656    0.324806   -0.842554
   -0.557449    0.385866   -0.735090
   -0.255045   -0.623749    0.738843
   -0.641554   -0.016383    0.766903
   -0.133559    0.558799   -0.818478
   -0.306666   -0.362658   -0.880020
    0.629465   -0.061370    0.774601
   -0.164736   -0.502804    0.848558
   -0.123226    0.707121   -0.696272
   -0.418910   -0.081854   -0.904331
   -0.042384    0.018751    0.998925
    0.203290   -0.165842    0.964971
   -0.007256    0.357025   -0.934067
   -0.237470   -0.239859   -0.941316
    0.656032   -0.441118    0.612403
   -0.322352   -0.331846    0.886548
    0.718519    0.083253   -0.690506
   -0.201216    0.558637   -0.804635
    0.732436   -0.679968   -0.034357
    0.243341    0.489300   -0.837479
   -0.691115   -0.031517    0.722057
    0.080853   -0.052991    0.995316
    0.212124    0.094361   -0.972676
   -0.099511    0.213361   -0.971892
   -0.045563   -0.212403    0.976119
   -0.322576   -0.026970    0.946159
    0.283386    0.396902   -0.873019
   -0.959075   -0.056179   -0.277522
    0.514652    0.328413    0.792009
   -0.171398   -0.762821    0.623480
    0.130175   -0.162063   -0.978156
   -0.803785   -0.090660   -0.587971
   -0.307349    0.021818    0.951347
   -0.714481   -0.080941    0.694957
    0.214038    0.537165   -0.815869
    0.287099   -0.307466   -0.907215
   -0.828073   -0.535718    0.165232
    0.474296   -0.067967    0.877738
   -0.086770    0.170681   -0.981498
   -0.418123   -0.493130    0.762887
   -0.187676    0.707916   -0.680906
    0.535681   -0.080416   -0.840583
    0.796608   -0.288109    0.531422
    0.048260   -0.768900    0.637545
   -0.065182    0.873737   -0.482011
   -0.149820    0.891254   -0.428042
   -0.102459   -0.240998    0.965102
    0.579757   -0.035027    0.814036
   -0.641249   -0.287777   -0.711326
    0.232705   -0.221071   -0.947088
   -0.078214   -0.316048    0.945514
    0.766906   -0.246330    0.592602
    0.516944    0.288555   -0.805919
   -0.238492    0.612296   -0.753801
    0.003704    0.167219    0.985913
   -0.013814   -0.850367    0.526008
   -0.360728    0.547030   -0.755403
    0.266308    0.742065   -0.615158
   -0.346366   -0.237359    0.907574
    0.975599   -0.190588   -0.109004
    0.071627   -0.466684    0.881519
   -0.358289   -0.252259    0.898885
    0.303768    0.950774   -0.061269
    0.148910    0.662079   -0.734491
   -0.006464   -0.335265    0.942102
   -0.508300    0.095142    0.855909
   -0.117312   -0.438419   -0.891082
   -0.723120    0.101308   -0.683253
    0.295870    0.198467    0.934383
   -0.854113    0.487511    0.181173
   -0.656865    0.469012   -0.590386
   -0.067833   -0.155495   -0.985505
   -0.599484   -0.136055    0.788739
    0.547446   -0.057992    0.834829
   -0.162228    0.368921   -0.915194
    0.514318    0.251936   -0.819759
   -0.516352   -0.336723    0.787399
   -0.034950    0.235047    0.971356
   -0.203516   -0.369727   -0.906578
   -0.062876   -0.582742    0.810221
   -0.049787    0.637858   -0.768543
   -0.687255    0.271668   -0.673703
    0.690701   -0.494354    0.527774
    0.240721   -0.939099    0.245249
    0.039536    0.266421   -0.963045
    0.336264    0.032816   -0.941196
    0.412527   -0.061620    0.908859
    0.212567   -0.140577    0.966982
    0.511920    0.176099   -0.840789
   -0.132778   -0.729085   -0.671421
    0.196530    0.577002    0.792745
   -0.719715   -0.438388    0.538354
    0.016088    0.988846   -0.148068
    0.422566   -0.001494   -0.906331
   -0.184826   -0.035477    0.982131
    0.013156   -0.557556    0.830035
    0.201870    0.942275   -0.267145
    0.424400   -0.180219   -0.887359
    0.436693   -0.092790    0.894812
    0.343112    0.381677   -0.858252
    0.385652    0.180527    0.904811
    0.685672   -0.240410    0.687064
    0.118630    0.942454   -0.312582
   -0.243375   -0.123531   -0.962034
   -0.338953   -0.186269    0.922179
   -0.267972   -0.787549    0.554939
   -0.378269    0.283546   -0.881201
   -0.456820    0.005870   -0.889540
   -0.633108   -0.629767    0.450075
    0.294214   -0.499506    0.814820
    0.504822    0.338144   -0.794238
    0.380830    0.323488   -0.866212
   -0.102828   -0.349025    0.931455
    0.015793   -0.053749    0.998430
    0.545682    0.199117   -0.813993
    0.102113    0.444976   -0.889702
   -0.473049   -0.603741    0.641655
   -0.002520    0.487098    0.873344
   -0.338081    0.284701   -0.897021
    0.316704   -0.559268    0.766106
   -0.162016   -0.349014   -0.923006
   -0.022315   -0.115462   -0.993061
   -0.300157    0.018401    0.953712
    0.281993   -0.236743    0.929749
    0.246068    0.164525   -0.955187
   -0.278745   -0.020013   -0.960157
    0.286180    0.536389    0.793970
   -0.394660    0.191166    0.898721
    0.122382    0.933698   -0.336498
   -0.312267   -0.617750   -0.721716
    0.371190    0.195993    0.907637
   -0.108418   -0.954773    0.276866
    0.178619    0.983862   -0.010509
    0.372789    0.242834   -0.895578
    0.007892   -0.436985    0.899434
    0.023003   -0.989870    0.140101
    0.129950   -0.153907   -0.979503
    0.198655    0.293259   -0.935166
   -0.353894    0.412404    0.839453
    0.153266   -0.143715   -0.977679
    0.388498    0.418437    0.820963
   -0.528536   -0.495841    0.689051
   -0.132435    0.047712   -0.990043
    0.225437    0.548866   -0.804938
   -0.100837   -0.045459    0.993864
    0.259267   -0.045403    0.964738
   -0.319835    0.060137   -0.945563
    0.574157   -0.584311   -0.573520
    0.652462   -0.511951    0.558748
   -0.181025   -0.186817    0.965572
    0.005250    0.069123   -0.997594
   -0.420183    0.279573   -0.863299
   -0.069765   -0.095019    0.993028
    0.072510    0.420033    0.904607
    0.752909   -0.213034   -0.622691
   -0.004568    0.686620   -0.727002
   -0.007432   -0.717350    0.696674
    0.547823   -0.539715    0.639217
    0.318872    0.535147   -0.782265
    0.576787   -0.082518    0.812716
    0.188283   -0.155516   -0.969724
   -0.217045   -0.325013   -0.920466
    0.842374   -0.510869    0.171522
   -0.401798   -0.412913    0.817350
    0.444383    0.836496   -0.320621
   -0.064532    0.243011   -0.967875
    0.149686    0.316756    0.936622
   -0.038642   -0.879413    0.474488
   -0.102246   -0.364687   -0.925499
    0.429123    0.148133   -0.891016
    0.252892   -0.126723    0.959159
   -0.374909   -0.236026    0.896513
   -0.107855    0.392752   -0.913298
    0.224958    0.114092   -0.967666
   -0.326088    0.588316    0.739967
   -0.418062    0.177201    0.890968
   -0.790415    0.305372   -0.531030
   -0.154447   -0.873208   -0.462227
   -0.240590   -0.496239    0.834184
   -0.431520   -0.646774   -0.628868
   -0.243635   -0.383987    0.890615
   -0.314688    0.020323    0.948978
   -0.348405   -0.823284   -0.448128
    0.625783    0.575808   -0.526157
    0.221045   -0.926698    0.303924
    0.008849    0.202272    0.979289
    0.112502    0.370416   -0.922028
   -0.688024    0.634252   -0.352631
    0.120701   -0.528761    0.840145
   -0.324066   -0.040646    0.945161
    0.451684    0.030963   -0.891640
   -0.501627    0.783063   -0.367673
    0.206301   -0.093315    0.974029
    0.299223   -0.321376    0.898434
   -0.082219    0.550281   -0.830921
   -0.624533    0.370239   -0.687664
    0.429878   -0.168103    0.887100
   -0.159142   -0.689039    0.707035
   -0.138324    0.223034   -0.964947
   -0.348600    0.281478    0.894007
   -0.467382    0.058836   -0.882096
    0.295939    0.531477   -0.793695
    0.233079   -0.751688    0.616960
   -0.233060   -0.212684    0.948920
    0.372149    0.837140   -0.400876
   -0.218804    0.425239   -0.878235
    0.857334   -0.333328    0.392264
    0.766352   -0.121506    0.630826
    0.378778    0.095695   -0.920527
    0.097787    0.460063   -0.882485
    0.434980    0.261812    0.861537
    0.583891    0.254318    0.770969
    0.752350    0.404044   -0.520306
   -0.544529    0.277686   -0.791441
    0.192571   -0.237644    0.952072
   -0.285643   -0.545755    0.787756
   -0.994465    0.097681    0.038694
    0.904315   -0.019712   -0.426410
   -0.291292   -0.456219    0.840841
   -0.313667    0.156049   -0.936622
    0.391406   -0.384430    0.836071
    0.178888   -0.652054    0.736766
    0.282521    0.799228   -0.530487
   -0.250195    0.418212   -0.873213
    0.343416   -0.299595    0.890117
   -0.031374   -0.106553    0.993812
    0.043345    0.038017   -0.998337
    0.097455    0.348488   -0.932233
    0.098451   -0.170203    0.980479
    0.168723    0.218633    0.961110
    0.414371   -0.175887   -0.892950
    0.362632    0.697086   -0.618521
   -0.311399   -0.586650    0.747578
