 Created on  8Aug2024 at 16:12:33 
    12    12     7
  2016    80
  206.000000
   -0.838500    0.530979   -0.122388
   -0.095201   -0.808160    0.581218
   -0.379211   -0.592680   -0.710584
   -0.385280    0.341425    0.857315
    0.975989   -0.212717    0.046873
   -0.624065    0.754598    0.202791
    0.009523    0.647243   -0.762225
   -0.049718   -0.267661    0.962230
   -0.027314    0.863251   -0.504036
   -0.447280    0.152743    0.881255
    0.136338    0.145533   -0.979914
    0.133445    0.077355    0.988033
   -0.536316   -0.825713    0.174825
   -0.764599    0.432818    0.477553
    0.368655   -0.025014   -0.929230
   -0.835875   -0.102915    0.539185
    0.771127    0.442734   -0.457547
   -0.731078    0.664300    0.155660
    0.557681   -0.292786   -0.776703
   -0.071347    0.857687    0.509199
    0.505371   -0.317245   -0.802468
   -0.175277    0.021546    0.984283
   -0.568807    0.358147   -0.740398
   -0.002985   -0.316134    0.948710
   -0.926885    0.315756   -0.202933
    0.227158    0.316877    0.920863
    0.930429    0.053930   -0.362482
   -0.899545    0.415447   -0.134990
    0.473160   -0.616821    0.629008
   -0.092193    0.341714    0.935271
    0.746415    0.662466   -0.063266
    0.372035   -0.772375    0.514808
    0.257290   -0.363187   -0.895487
   -0.613829    0.368902    0.697944
    0.072891   -0.418307   -0.905376
   -0.814880   -0.573293    0.085472
    0.155417   -0.115216   -0.981107
   -0.126602    0.679742    0.722442
    0.893380   -0.448576    0.025546
   -0.782967   -0.241412    0.573308
    0.562751   -0.549839   -0.617242
   -0.633847   -0.023498    0.773102
    0.713264   -0.075113   -0.696859
   -0.708940   -0.636984    0.302747
    0.783563    0.003707   -0.621302
   -0.874051   -0.099723    0.475489
   -0.043668    0.119487   -0.991875
    0.315897   -0.434294    0.843563
   -0.619627    0.042581   -0.783741
    0.040493    0.142827    0.988919
   -0.052836   -0.320082   -0.945915
    0.811539    0.015383    0.584095
   -0.992472   -0.022897   -0.120312
   -0.207529    0.819932    0.533520
    0.614693    0.338161   -0.712600
    0.450607   -0.148170    0.880340
   -0.060879    0.185615   -0.980735
    0.657710   -0.746124    0.103518
    0.541897    0.164123   -0.824264
   -0.558787    0.210603    0.802124
    0.516542   -0.017008   -0.856093
   -0.658539    0.253493    0.708568
    0.171825    0.485766   -0.857034
   -0.499981    0.376086    0.780114
   -0.023405   -0.355970   -0.934204
   -0.334703    0.542910    0.770210
   -0.452626    0.095609   -0.886560
    0.380239    0.086290    0.920854
   -0.259387    0.499112   -0.826804
   -0.704013    0.172275    0.688975
    0.058933    0.554614   -0.830018
    0.405859   -0.892228    0.198009
    0.902083   -0.086047   -0.422898
   -0.571974    0.152278    0.806013
   -0.430544   -0.738416   -0.519012
    0.703074    0.377512    0.602637
   -0.236212   -0.326206   -0.915311
    0.151013   -0.087418    0.984659
   -0.569320   -0.253800   -0.781959
   -0.351157    0.678153    0.645599
   -0.254112    0.329741   -0.909229
    0.793618    0.250183    0.554598
    0.623195   -0.714576   -0.317819
    0.205013    0.557393    0.804539
    0.203474   -0.488093   -0.848742
   -0.638643    0.582526    0.502790
   -0.255247   -0.176633   -0.950605
    0.595841   -0.205994    0.776235
    0.934772   -0.308142    0.176779
   -0.996066    0.085041    0.024903
    0.264177   -0.815993   -0.514165
   -0.283212    0.633720    0.719855
    0.525229   -0.846793   -0.084120
   -0.557748    0.388989    0.733215
    0.620953   -0.783328   -0.028548
   -0.684155    0.677780   -0.269344
    0.355814   -0.475534   -0.804528
   -0.783555   -0.361754    0.505148
    0.114306   -0.960208   -0.254822
    0.489097    0.126250    0.863044
    0.817903   -0.475522   -0.323902
   -0.717460    0.215573    0.662404
   -0.524150    0.331463   -0.784474
    0.682141    0.537829    0.495403
    0.190859   -0.153801   -0.969494
    0.135496    0.595165    0.792098
