 Created on  6Sep2024 at 22:45:49 
     9     7     9
  2268   100
  410.000000
   -0.246751   -0.524480    0.814883
   -0.348701   -0.912019    0.215935
    0.977271   -0.120778   -0.174223
   -0.225302    0.897383   -0.379397
   -0.975635    0.010220   -0.219163
   -0.785746    0.408019    0.464892
    0.903868    0.214242   -0.370300
    0.696673    0.530110   -0.483354
   -0.815401    0.311084    0.488209
    0.508873    0.707614    0.490236
    0.535555   -0.211318   -0.817634
    0.925865    0.134439   -0.353130
   -0.498786   -0.490243    0.714755
   -0.237705    0.923021    0.302536
    0.836963   -0.544757    0.052270
    0.327259    0.844039   -0.424852
   -0.345065   -0.847343   -0.403657
   -0.723446   -0.530289    0.442063
    0.752655    0.658019   -0.022826
    0.965539   -0.254142    0.056083
   -0.365423   -0.700020    0.613545
   -0.626589   -0.322647    0.709426
    0.839624    0.361167   -0.405696
    0.619157    0.752692   -0.223831
   -0.853020    0.336190    0.399165
   -0.900264    0.025432    0.434601
    0.359025    0.715273    0.599571
    0.953593    0.268106   -0.137039
   -0.153742    0.452911    0.878200
   -0.539671   -0.330009    0.774499
    0.587206   -0.461157   -0.665224
    0.224329    0.235359   -0.945665
    0.012719    0.020249    0.999714
   -0.931311   -0.169697    0.322278
   -0.146468    0.078911   -0.986063
    0.985970   -0.096242   -0.136383
   -0.912392   -0.356638   -0.200875
   -0.078903   -0.657695   -0.749141
    0.295495    0.716324   -0.632109
    0.833913    0.387407   -0.393072
    0.988410   -0.025726   -0.149610
   -0.578588   -0.424553    0.696413
   -0.485559   -0.406719   -0.773829
    0.314771    0.026983   -0.948784
   -0.130480    0.226004    0.965348
   -0.671283    0.741166   -0.007199
    0.000281   -0.548764   -0.835977
    0.485320    0.127494   -0.864991
    0.270570    0.354950    0.894876
   -0.037877   -0.025579    0.998955
   -0.442652   -0.147106   -0.884545
    0.304472   -0.761471   -0.572240
   -0.778203   -0.621066   -0.093152
   -0.823334    0.330921   -0.461100
    0.474029    0.804731   -0.357358
    0.962032   -0.046047   -0.269024
   -0.678605   -0.356273    0.642312
   -0.912781    0.267416   -0.308739
    0.731260   -0.482186   -0.482448
    0.728989   -0.261020   -0.632806
   -0.826018   -0.090823    0.556278
   -0.994576    0.084956   -0.060007
    0.611728    0.062399   -0.788603
    0.969648   -0.085866   -0.228934
   -0.112629   -0.773303    0.623953
   -0.747628   -0.651654    0.128058
    0.309350    0.624641   -0.717026
    0.268282    0.652597   -0.708620
   -0.811151   -0.421239    0.405700
    0.345129    0.843034   -0.412529
    0.472909   -0.255421   -0.843278
    0.994650    0.060232   -0.083926
   -0.528264   -0.728282   -0.436512
   -0.413620   -0.447111   -0.793102
    0.344248    0.516100    0.784305
    0.019177    0.926493   -0.375824
   -0.970158   -0.201938   -0.134217
   -0.669379   -0.557411    0.491146
    0.963911    0.265818   -0.014676
    0.223882    0.704312   -0.673662
   -0.709765    0.593502    0.379459
    0.218457   -0.059926    0.974005
    0.258910    0.053951   -0.964393
    0.647316   -0.166808   -0.743746
   -0.593482    0.778257    0.205171
   -0.374617    0.001868    0.927178
    0.789815   -0.119217   -0.601647
   -0.132446   -0.903572   -0.407451
   -0.859537    0.189847    0.474504
    0.142744    0.148397   -0.978572
    0.236954   -0.967103    0.092549
    0.861975   -0.386509   -0.328040
   -0.506807    0.706676    0.493716
    0.695179    0.371558   -0.615362
    0.703442    0.067787    0.707512
    0.048179   -0.701095   -0.711438
   -0.453010   -0.775828   -0.439174
   -0.397178    0.130340    0.908439
    0.954469   -0.275185   -0.115161
    0.356955   -0.115202   -0.926991
    0.822531   -0.239199    0.515971
   -0.749417   -0.296408    0.592045
    0.891974    0.212636   -0.398960
   -0.113449    0.151927   -0.981859
   -0.932709   -0.357314    0.048799
   -0.499886   -0.407479   -0.764248
    0.342204    0.316558    0.884696
    0.991030    0.049330    0.124201
   -0.892353   -0.340430   -0.296333
   -0.499554   -0.780835   -0.375156
    0.404413    0.865854   -0.294528
    0.854186    0.470753    0.220811
   -0.255675    0.159744   -0.953474
   -0.729859   -0.535084    0.425430
    0.921615   -0.388079    0.004509
    0.864051    0.247876   -0.438146
   -0.612299    0.070253    0.787499
   -0.490930   -0.025764    0.870818
    0.143567   -0.810335    0.568107
    0.604734   -0.757068   -0.247277
    0.463217    0.777342    0.425640
   -0.371921   -0.467239    0.802098
    0.188348   -0.494365   -0.848604
    0.782423   -0.316464   -0.536344
   -0.866851    0.067060    0.494037
   -0.943235   -0.224358    0.244891
    0.834404   -0.243700   -0.494348
    0.833162   -0.527685    0.165495
   -0.080607    0.122150    0.989233
   -0.636884   -0.448087    0.627373
    0.393074   -0.914329    0.097440
    0.550605   -0.306069   -0.776631
   -0.542183    0.805777   -0.238246
   -0.645597   -0.150493    0.748703
    0.593175   -0.018288    0.804866
    0.790888   -0.037969    0.610782
   -0.869546    0.057691    0.490471
   -0.868901   -0.369393    0.329483
    0.844974    0.257188    0.468907
    0.818615   -0.182067   -0.544722
   -0.834620   -0.238935   -0.496307
   -0.141406   -0.528407    0.837132
   -0.081076    0.989929   -0.116051
    0.537825    0.808422   -0.239162
    0.239143   -0.804427    0.543791
   -0.729282   -0.230410    0.644251
    0.917230    0.380451   -0.118097
    0.606245    0.578217   -0.546014
   -0.037213   -0.234965    0.971291
   -0.406329    0.501621    0.763723
    0.375247    0.235743   -0.896446
    0.517966    0.226524   -0.824862
   -0.458140   -0.264516    0.848610
   -0.484952   -0.034437    0.873863
    0.571469    0.706417   -0.417610
    0.707477   -0.348915   -0.614601
   -0.969558   -0.172554    0.173731
   -0.771237   -0.219312   -0.597574
