 Created on  5Sep2024 at 03:59:44 
    13    13    13
  2197    80
   11.000000
    0.744015   -0.267304   -0.612364
   -0.720304    0.405450    0.562826
    0.843934   -0.163645   -0.510877
   -0.942272    0.000068   -0.334849
    0.722849   -0.621891    0.301233
   -0.908381    0.381106   -0.172055
    0.516577   -0.281568    0.808621
   -0.435588    0.329980   -0.837482
    0.519415    0.119452    0.846132
   -0.223758   -0.095191   -0.969985
   -0.071663    0.241693    0.967703
    0.591890   -0.658396   -0.464953
   -0.881089    0.212247    0.422651
   -0.847202    0.027545    0.530557
    0.925926   -0.371711    0.067022
   -0.802740   -0.094751   -0.588754
    0.953754   -0.276173    0.118670
   -0.941952    0.333299   -0.040469
    0.609304   -0.233725    0.757708
   -0.502248    0.044592   -0.863573
    0.399118   -0.457408    0.794659
   -0.062180   -0.547275   -0.834640
    0.116693    0.761412    0.637679
    0.453145   -0.630318   -0.630364
   -0.879221    0.398247    0.261478
    0.891352    0.198376   -0.407601
    0.819050   -0.413536    0.397675
   -0.862543    0.070743   -0.501013
    0.831211   -0.484513    0.272646
   -0.962344    0.081679   -0.259273
    0.789394    0.228376    0.569826
   -0.286792    0.147898   -0.946507
    0.518842   -0.367888    0.771662
   -0.547727   -0.069037   -0.833804
    0.047624    0.751068    0.658505
    0.192650   -0.752176   -0.630172
   -0.934986    0.122998    0.332675
    0.508190    0.146722   -0.848655
   -0.967394    0.229369   -0.107415
   -0.862184   -0.477603   -0.168920
    0.914916    0.080635    0.395509
   -0.955110    0.226665    0.190754
    0.946017   -0.007316    0.324035
   -0.741046    0.366560   -0.562570
    0.501282    0.344544    0.793729
    0.196771   -0.464205   -0.863594
   -0.091686    0.700395    0.707843
   -0.185440   -0.772607   -0.607198
   -0.592693    0.295300    0.749342
    0.872921    0.120508   -0.472743
   -0.989002    0.124594   -0.079690
    0.966450   -0.211310   -0.146024
    0.913616    0.136407    0.383013
   -0.928814   -0.350537    0.120121
    0.965218   -0.050342    0.256554
   -0.835127    0.493450   -0.243045
    0.849059    0.188202    0.493639
   -0.371403   -0.116622   -0.921118
   -0.205368    0.956346    0.207908
    0.815028   -0.398448   -0.420676
   -0.774670   -0.143031    0.615977
    0.972803    0.148218   -0.178002
   -0.854422    0.265898    0.446386
    0.752114    0.359587   -0.552288
   -0.913015   -0.369481   -0.172879
   -0.695449   -0.389939   -0.603571
    0.822826    0.094469    0.560386
   -0.785356    0.345064   -0.513952
    0.859490    0.095253    0.502199
   -0.028609   -0.171048   -0.984847
   -0.402920    0.676501    0.616443
    0.673326   -0.348686   -0.651959
    0.037781   -0.163579    0.985806
    0.818021    0.273778   -0.505853
   -0.721349    0.272629    0.636655
    0.984071   -0.053699   -0.169472
   -0.905137   -0.413631    0.098168
    0.996336   -0.069013    0.050517
    0.853452    0.296851    0.428368
   -0.310587    0.091861   -0.946096
    0.478381    0.448905    0.754742
   -0.407675   -0.394632   -0.823448
   -0.257402    0.594950    0.761432
    0.862179   -0.087815   -0.498935
   -0.579823    0.157248    0.799423
    0.469736    0.127504   -0.873551
   -0.402743    0.854446    0.328207
    0.996887    0.077839   -0.012528
   -0.989879    0.108577    0.091377
    0.879550   -0.475805    0.000728
   -0.953161   -0.294994   -0.066799
   -0.200924   -0.242206   -0.949192
    0.448037    0.131196    0.884336
   -0.561241   -0.364338   -0.743146
   -0.137389    0.098514    0.985606
    0.678972    0.497241   -0.540138
   -0.994624   -0.102253    0.016334
    0.734845    0.273420   -0.620681
   -0.619898    0.782186    0.062538
    0.817155    0.147555   -0.557211
   -0.909191    0.194587    0.368114
    0.806006   -0.531190   -0.261135
   -0.993597   -0.067762   -0.090406
    0.862732    0.433598    0.260166
    0.285195    0.084090    0.954774
   -0.688006   -0.552718   -0.470267
    0.296150    0.246834    0.922696
    0.957217    0.153801   -0.245115
   -0.677488    0.035752    0.734664
    0.943755    0.046231   -0.327399
   -0.984041    0.135166   -0.115731
    0.900461   -0.225724   -0.371778
   -0.941883    0.280182    0.185347
    0.999431   -0.005256    0.033325
   -0.933478    0.238051   -0.268237
    0.940974    0.304506    0.147795
   -0.431306   -0.386597   -0.815180
   -0.503208   -0.093010   -0.859145
   -0.248876    0.093361    0.964025
    0.734110    0.137760   -0.664909
   -0.576302    0.567268    0.588288
    0.879165   -0.330782   -0.343005
   -0.943358   -0.270550    0.192037
    0.942639   -0.311393   -0.120271
   -0.926329   -0.359329   -0.113127
    0.957272    0.151948    0.246054
   -0.981752    0.009476    0.189928
    0.833219    0.547609    0.076625
   -0.360405   -0.746060   -0.559913
   -0.336989    0.314674    0.887366
   -0.233662    0.199788    0.951571
    0.364442   -0.310574   -0.877910
   -0.024419    0.954130    0.298395
    0.653757   -0.604926   -0.454606
   -0.996321    0.073311    0.044382
    0.916132   -0.387533   -0.102569
   -0.977883   -0.177479    0.110663
    0.924792   -0.223063    0.308225
   -0.948379    0.175074    0.264437
    0.821747   -0.253444    0.510389
   -0.350217   -0.506683   -0.787795
    0.097707    0.333300    0.937744
   -0.545751   -0.258298   -0.797143
    0.830198   -0.270041   -0.487698
   -0.315913    0.607312    0.728952
    0.478408   -0.543198   -0.689972
   -0.979824    0.149730    0.132384
    0.723897   -0.671207    0.159545
   -0.897008    0.072997   -0.435944
    0.850160   -0.066414    0.522318
   -0.837524    0.498511    0.223696
    0.707297    0.295372    0.642251
    0.055871   -0.271034   -0.960947
    0.195931    0.059171    0.978831
   -0.333286   -0.656169   -0.677025
   -0.176195   -0.062106    0.982394
   -0.583465    0.265533    0.767503
    0.574907   -0.698708   -0.425781
   -0.955236    0.058199    0.290065
    0.819265   -0.508767   -0.264501
   -0.579871   -0.333404   -0.743365
    0.916085   -0.392927   -0.079985
   -0.751152    0.659749   -0.022392
    0.645428   -0.605530    0.465571
   -0.388239    0.199683   -0.899665
    0.557383    0.512192    0.653439
    0.155177   -0.163397   -0.974280
   -0.023561   -0.055832    0.998162
    0.267171   -0.553053   -0.789146
   -0.895999   -0.146825    0.419080
    0.909761   -0.393375   -0.132633
   -0.786022   -0.208395   -0.582014
    0.842615   -0.420154   -0.336853
   -0.569318    0.416754   -0.708656
    0.585189   -0.303582    0.751926
   -0.382896   -0.122272   -0.915664
    0.124891    0.018980    0.991989
   -0.345739   -0.403185   -0.847294
   -0.481095    0.172879    0.859454
    0.935998    0.072708   -0.344414
   -0.755693    0.631110    0.175010
    0.928089   -0.199016   -0.314711
    0.984706   -0.113916    0.131825
   -0.991270   -0.126672   -0.036587
    0.835333   -0.539766    0.104268
   -0.791079    0.420942   -0.443849
    0.662514   -0.254086    0.704638
   -0.536106   -0.430033   -0.726403
    0.414103    0.149762    0.897825
   -0.458639   -0.248275   -0.853235
    0.254498    0.181987    0.949796
    0.582938   -0.681688   -0.442136
   -0.849023    0.489733    0.198294
    0.999305   -0.031051   -0.020623
   -0.972012   -0.089826    0.217080
   -0.978191   -0.063690    0.197702
    0.819575    0.572782   -0.014777
   -0.886716    0.150051   -0.437286
    0.797384   -0.135973    0.587954
   -0.663759    0.240657   -0.708173
    0.733294    0.398464    0.550914
   -0.126719   -0.453445   -0.882230
   -0.100933    0.477867    0.872614
    0.244534   -0.504506   -0.828056
   -0.860188    0.307571    0.406788
    0.745899   -0.002508   -0.666054
   -0.983746    0.146234    0.104212
    0.953510    0.080807   -0.290324
    0.702189    0.672238   -0.234578
   -0.844613   -0.194781   -0.498687
    0.969028   -0.046432    0.242547
   -0.959076    0.044307   -0.279660
    0.688199    0.414353    0.595561
   -0.632016   -0.219899   -0.743102
    0.225822    0.799996    0.555888
    0.561252   -0.394217   -0.727729
   -0.792757    0.059864    0.606590
    0.837266   -0.172893   -0.518743
   -0.901724    0.141112    0.408633
    0.975771    0.212813    0.050817
   -0.950246   -0.273156    0.149728
   -0.748612   -0.247353   -0.615139
    0.951222    0.092664    0.294261
   -0.778560   -0.580207   -0.239174
    0.674111    0.431906    0.599193
   -0.158792   -0.168540   -0.972820
   -0.064769    0.727779    0.682747
    0.552415   -0.378249   -0.742809
   -0.511832   -0.028260    0.858621
    0.883378   -0.192858   -0.427141
   -0.775023    0.095789    0.624630
    0.904999    0.056061   -0.421703
   -0.914943    0.093635    0.392571
    0.857527    0.458751   -0.232796
    0.626162    0.382605    0.679363
   -0.791212   -0.336139   -0.510876
    0.554362    0.563057    0.612903
   -0.050926   -0.358923   -0.931977
    0.063443    0.642526    0.763633
    0.789505   -0.492928   -0.365656
   -0.527057   -0.716864    0.456418
    0.824181    0.370859   -0.428006
   -0.702295    0.101748    0.704577
    0.964834   -0.135306   -0.225363
