 Created on  8Aug2024 at 19:16:26 
    10    10    10
  2000    80
  270.000000
    0.195145   -0.752374   -0.629168
   -0.917395    0.355456   -0.178992
    0.335570    0.821656    0.460733
    0.068398   -0.798581   -0.597988
    0.397025   -0.596400   -0.697624
    0.771019    0.592567   -0.233225
    0.021275    0.542997    0.839465
    0.906695    0.147551   -0.395136
   -0.216314    0.429941    0.876561
   -0.270371    0.710253   -0.649954
    0.093758    0.619175   -0.779635
    0.267334   -0.949116    0.166467
    0.346210   -0.259464    0.901564
   -0.905386    0.105263   -0.411333
   -0.906763    0.224481    0.356916
    0.319164   -0.824395   -0.467447
    0.622323    0.541329    0.565400
   -0.133912    0.658628    0.740457
   -0.443179    0.621075   -0.646420
    0.611385   -0.089768    0.786225
    0.536582   -0.518278    0.665934
   -0.275378    0.960470   -0.040801
   -0.215548   -0.536018    0.816225
   -0.248530    0.804262   -0.539810
   -0.730829   -0.676435   -0.091241
    0.660418    0.337889   -0.670581
    0.860524   -0.471877   -0.191913
    0.647903    0.200118   -0.734966
   -0.296019   -0.950969    0.089618
    0.361958    0.915783   -0.174151
   -0.163261    0.311354    0.936165
    0.354209    0.465878   -0.810860
   -0.620304   -0.729271    0.288767
   -0.584589    0.767120   -0.264163
   -0.170685   -0.033625    0.984752
    0.062436    0.932329   -0.356181
   -0.060186    0.913738   -0.401820
   -0.068826   -0.953447   -0.293602
   -0.131817   -0.529159    0.838221
   -0.149835    0.894602   -0.420995
    0.480988   -0.742259    0.466585
    0.713782    0.615238   -0.334660
   -0.487665    0.469317    0.736155
    0.934401    0.233836   -0.268728
   -0.892278   -0.416194   -0.174995
    0.209793    0.970308    0.120372
   -0.517213    0.050576    0.854361
   -0.347120   -0.755271   -0.555944
   -0.658542   -0.731513   -0.176664
   -0.603114    0.174129   -0.778416
   -0.282416    0.955763    0.082204
    0.855711    0.165805   -0.490171
    0.119294   -0.322241    0.939111
   -0.446719    0.889992    0.091408
    0.017926    0.809016    0.587513
   -0.490669   -0.695632    0.524728
    0.244511   -0.916906   -0.315434
   -0.600548    0.324552   -0.730759
    0.109570    0.920034    0.376207
   -0.708047   -0.178202    0.683310
    0.718681   -0.502117   -0.481015
   -0.319796    0.928961   -0.186445
   -0.136673   -0.959483    0.246400
   -0.304193    0.669113   -0.678052
   -0.744090   -0.479018    0.465695
    0.770403    0.522554   -0.365262
    0.129201   -0.198020    0.971646
    0.427892    0.439077   -0.790013
    0.198858   -0.569207    0.797784
   -0.876208   -0.336223    0.345274
    0.228645   -0.717925    0.657499
   -0.854247    0.301177   -0.423738
    0.004897   -0.973700   -0.227783
   -0.559611    0.622244   -0.547401
    0.952396   -0.115977    0.281943
    0.163063    0.912725   -0.374624
    0.333391   -0.897361   -0.289127
   -0.054375    0.995749    0.074349
   -0.497250   -0.637524    0.588478
    0.429711    0.670895   -0.604358
    0.611379   -0.713978    0.341251
    0.271214    0.501928   -0.821286
   -0.973244    0.125169    0.192691
    0.560248   -0.509693   -0.652944
    0.468136    0.086255    0.879436
    0.090254   -0.554685   -0.827151
   -0.955550    0.279324    0.094350
    0.979749   -0.157864    0.123167
    0.883483    0.126764    0.450987
   -0.495146    0.615637   -0.613043
   -0.999988   -0.003458    0.003589
    0.981318   -0.116255    0.153299
   -0.080131   -0.294646    0.952241
   -0.961339   -0.248957   -0.117676
   -0.401618    0.720137    0.565778
    0.909217    0.412031    0.059623
   -0.537024   -0.273093    0.798139
    0.565962    0.668566   -0.482397
   -0.525209   -0.357374   -0.772295
   -0.472433    0.337482   -0.814195
   -0.861811    0.465045    0.202519
    0.221563    0.814824   -0.535698
    0.250373   -0.869218    0.426350
   -0.235582    0.782764   -0.576005
   -0.682901   -0.689220    0.242119
    0.820622    0.561579    0.105872
    0.608798   -0.363571    0.705111
    0.296773    0.511370   -0.806490
    0.590154   -0.021639    0.807001
    0.618171    0.770796    0.154073
    0.735142    0.116101    0.667897
    0.835934    0.264370    0.480960
    0.040681   -0.714469    0.698483
    0.433850    0.449843    0.780651
   -0.568600   -0.619765   -0.540911
   -0.051819    0.255966   -0.965296
    0.351570    0.699548   -0.622119
   -0.574600    0.817441    0.040305
    0.443847   -0.345125    0.826976
    0.201292    0.977953   -0.055585
   -0.657855    0.405046    0.634953
   -0.130919   -0.310612   -0.941478
   -0.994205   -0.076130    0.075897
    0.753072   -0.553230   -0.356116
    0.345195    0.666603    0.660667
   -0.058234    0.926091    0.372780
   -0.976771   -0.214203   -0.005899
    0.310964   -0.940058    0.139974
   -0.307639   -0.620901    0.720999
    0.789180    0.595844   -0.148879
   -0.907033    0.410273   -0.094695
    0.832891    0.248216   -0.494653
    0.383220   -0.815380    0.433932
    0.392030    0.513437   -0.763344
   -0.764317   -0.640097   -0.078072
   -0.265321   -0.803010   -0.533647
    0.623452   -0.775566    0.099017
    0.973117   -0.175553    0.149081
   -0.499009   -0.467271    0.729827
    0.702048    0.642860   -0.306364
    0.479690   -0.805203    0.348633
   -0.652358   -0.739536    0.165877
   -0.455972   -0.378623    0.805440
   -0.073479    0.593682   -0.801338
   -0.654207   -0.706475   -0.270011
   -0.593285    0.750126    0.292103
   -0.221957   -0.827064    0.516431
    0.964936    0.050427   -0.257596
   -0.817866   -0.570747   -0.073097
    0.063087    0.997992    0.005572
   -0.231608   -0.934102    0.271682
    0.743172    0.391353   -0.542713
   -0.015695   -0.998344   -0.055350
   -0.361116    0.738939   -0.568827
   -0.992509   -0.117585   -0.033167
    0.285667   -0.345751   -0.893785
   -0.946761   -0.284909   -0.149900
    0.228151    0.941049    0.249747
    0.056438   -0.749658    0.659414
   -0.361150    0.699913   -0.616192
   -0.808129    0.309274    0.501276
    0.005700    0.190867   -0.981599
   -0.654252   -0.564726   -0.503029
    0.447224   -0.433011    0.782619
    0.241376   -0.857191    0.454931
    0.138212    0.922655   -0.360006
   -0.555379    0.542261   -0.630482
    0.514774   -0.847118   -0.131904
    0.166602   -0.932722   -0.319803
    0.988987    0.147916    0.005003
   -0.646426   -0.653007    0.394607
    0.492588   -0.816731    0.300512
    0.075250   -0.330800    0.940696
   -0.138699    0.218201   -0.965997
    0.131357    0.981850    0.136806
   -0.390079    0.109293   -0.914272
   -0.113652   -0.367374    0.923103
   -0.347273    0.683891   -0.641634
   -0.317502   -0.947300   -0.042606
    0.190321   -0.139064   -0.971823
    0.690112   -0.680362   -0.246683
   -0.441312    0.749892   -0.492855
   -0.236837   -0.358381    0.903035
    0.879866    0.107877   -0.462816
    0.564402   -0.764822   -0.310641
    0.231696    0.908870   -0.346802
   -0.459494   -0.882237    0.102585
    0.549251   -0.007917   -0.835620
   -0.604736   -0.539535    0.585830
    0.513486    0.824014   -0.239444
   -0.503958    0.497044    0.706380
    0.806638    0.010567   -0.590952
   -0.069757   -0.969688    0.234178
    0.105953    0.918676    0.380537
   -0.490296   -0.344545    0.800562
    0.498892    0.088210   -0.862163
   -0.560841   -0.822329   -0.096083
    0.236542    0.860529    0.451152
    0.905890   -0.415916   -0.079858
    0.724228    0.651394    0.226227
   -0.685979   -0.635661    0.354074
   -0.009371   -0.135092   -0.990789
   -0.438455   -0.770906   -0.462019
   -0.624880   -0.339975    0.702810
   -0.459953   -0.787030    0.411129
    0.048462    0.912741   -0.405655
    0.012805    0.321837    0.946708
    0.539255    0.125040   -0.832808
   -0.614675   -0.319749    0.721065
    0.724912   -0.568436   -0.389079
   -0.152478   -0.876170   -0.457248
    0.266357    0.657152    0.705128
   -0.173484   -0.420116    0.890733
    0.057354    0.680992   -0.730041
    0.574793   -0.599775   -0.556671
   -0.724112   -0.451662    0.521213
   -0.063148   -0.996523    0.054354
    0.041265    0.563955   -0.824774
   -0.729032   -0.250904   -0.636836
    0.069356    0.856859   -0.510864
   -0.540553    0.397031   -0.741734
    0.322919   -0.503060   -0.801657
   -0.887041   -0.329426   -0.323477
    0.504611    0.541557    0.672372
   -0.715561    0.538897   -0.444481
    0.509214   -0.005312   -0.860623
   -0.512987   -0.733996    0.445079
    0.701550    0.312830    0.640285
   -0.294199    0.306243    0.905352
    0.692677    0.144000   -0.706727
    0.582982   -0.523032    0.621747
   -0.192803    0.944978    0.264279
   -0.979353    0.161257    0.121920
    0.163606   -0.986499   -0.007216
    0.889647   -0.143910   -0.433379
