 Created on  9Sep2024 at 03:26:22 
     9     9     7
  2268   100
  410.000000
   -0.896930   -0.297013   -0.327566
    0.889904    0.137652   -0.434883
   -0.480331   -0.875367    0.054899
    0.088351    0.966291    0.241818
   -0.938914    0.335028    0.078724
   -0.367146    0.588554   -0.720283
    0.145717   -0.288485    0.946331
    0.938660   -0.232404   -0.254767
   -0.480458   -0.830670    0.281332
    0.226002    0.931112    0.286276
    0.198815   -0.942857   -0.267384
    0.175475   -0.043087    0.983540
   -0.033558   -0.140319   -0.989538
    0.289138    0.324416    0.900641
   -0.930816    0.355121    0.086433
    0.953662    0.100356    0.283650
   -0.874320    0.333352    0.352762
    0.962795    0.181188   -0.200491
    0.161109    0.812839   -0.559765
    0.238793   -0.965027   -0.108168
   -0.930894   -0.282529    0.231549
    0.543925   -0.812874    0.208284
   -0.619128   -0.128368   -0.774727
    0.482514   -0.785571    0.387374
   -0.527755    0.523506    0.668892
    0.736189   -0.309128   -0.602051
   -0.486689    0.567436   -0.664191
    0.503215   -0.447741   -0.739123
   -0.983632    0.050969    0.172830
    0.896433   -0.439093    0.060043
    0.101080   -0.078666   -0.991763
   -0.224432    0.870007   -0.438997
   -0.782428    0.043901    0.621192
    0.953397   -0.211733    0.214948
   -0.883011    0.469107   -0.015190
    0.811056    0.574246   -0.111491
   -0.744112    0.345593   -0.571719
   -0.148513    0.446120   -0.882565
    0.130357   -0.313211    0.940694
    0.848103   -0.521168   -0.095420
   -0.302811   -0.699749   -0.647037
    0.701263    0.711031   -0.051628
    0.463619   -0.240843    0.852674
    0.730740   -0.603215    0.319610
   -0.872100   -0.237352   -0.427908
   -0.140479    0.738908   -0.659000
   -0.572127   -0.723228    0.386796
    0.688664    0.724759   -0.021565
   -0.821292   -0.277796   -0.498307
    0.600359    0.077900   -0.795928
   -0.976797   -0.054644   -0.207078
    0.546077   -0.663579    0.511334
   -0.697429    0.571305    0.432670
    0.369216   -0.816453   -0.443941
   -0.187392    0.979195    0.077852
    0.316865   -0.945992    0.068528
   -0.356301    0.901946   -0.244013
    0.840472   -0.526340    0.128736
   -0.322410    0.944657   -0.060627
    0.730629   -0.300042   -0.613316
   -0.856970    0.515316   -0.007204
    0.256908   -0.386378    0.885839
   -0.778271   -0.615990    0.121865
    0.957366   -0.276066   -0.085072
   -0.136550    0.913410   -0.383454
    0.341156    0.461776    0.818765
   -0.928459    0.122163    0.350770
    0.926109   -0.343606    0.155746
   -0.868289   -0.467501   -0.165883
    0.540119    0.644736   -0.540913
   -0.611708    0.008803    0.791035
   -0.350647    0.878230   -0.325205
   -0.849627    0.120451   -0.513444
    0.551784   -0.679531    0.483499
   -0.513684   -0.786258    0.343404
   -0.481275    0.554761    0.678686
    0.094094    0.508993   -0.855612
    0.967307    0.029568   -0.251879
   -0.774417   -0.619282    0.129490
    0.944137    0.127944   -0.303702
   -0.437809   -0.186001    0.879617
    0.973241    0.229283   -0.015220
   -0.290755   -0.801295    0.522864
    0.512897    0.723431    0.462152
   -0.509217    0.101445   -0.854638
   -0.224195    0.424885   -0.877046
   -0.237813   -0.579682    0.779367
    0.480585    0.518325    0.707373
   -0.918536   -0.177182    0.353410
    0.834776    0.041519   -0.549022
   -0.668408    0.740241   -0.072625
    0.788275   -0.612776    0.055928
   -0.763185   -0.388258   -0.516531
    0.908637    0.060599    0.413166
   -0.435977   -0.125685   -0.891138
    0.367159   -0.913055    0.177552
   -0.244621    0.635384   -0.732426
    0.761106   -0.312599    0.568331
   -0.238245    0.069085   -0.968745
    0.960884   -0.029861    0.275335
   -0.510826    0.122928   -0.850850
    0.835733   -0.273081    0.476421
   -0.696481    0.145313    0.702708
    0.517952   -0.853675    0.054443
