 Created on  5Sep2024 at 05:58:40 
     9     9     7
  2268   100
  380.000000
   -0.292786   -0.116342    0.949074
    0.570201    0.221274   -0.791144
    0.176361   -0.752036    0.635089
    0.883945    0.445184   -0.143015
    0.000224    0.543875    0.839166
   -0.286514    0.691638   -0.662984
    0.396484    0.913144    0.094702
    0.538103   -0.689987   -0.484110
   -0.296459    0.588774    0.751969
   -0.446510   -0.129951   -0.885292
    0.973922   -0.225343    0.026410
   -0.915181    0.040354   -0.401018
   -0.020869    0.302623    0.952882
    0.203747   -0.628367    0.750761
   -0.071637    0.426372    0.901707
    0.529691   -0.320689   -0.785230
    0.066053    0.596095    0.800192
   -0.391309   -0.708973   -0.586715
   -0.637219    0.586497    0.499974
    0.262804    0.772037   -0.578699
    0.461681   -0.653144    0.600211
   -0.097716   -0.268163   -0.958405
   -0.154928    0.404946    0.901119
    0.256277    0.009299   -0.966559
   -0.999402   -0.007951    0.033660
    0.484842    0.778697   -0.398195
    0.399431    0.813413    0.422864
   -0.098315    0.231876   -0.967764
   -0.499125   -0.324176    0.803607
    0.591837   -0.794570   -0.135602
    0.721058   -0.286311    0.630952
   -0.089636    0.492256   -0.865823
   -0.169661    0.061080    0.983608
   -0.232511    0.492815   -0.838494
    0.048231   -0.995272   -0.084301
   -0.223202    0.451187   -0.864066
   -0.210875   -0.198166    0.957216
    0.023457   -0.379884   -0.924737
    0.409546   -0.578084    0.705755
   -0.553247   -0.428663   -0.714259
    0.672500    0.557814    0.486403
   -0.399386    0.171183   -0.900659
    0.778318   -0.317923    0.541429
    0.225291   -0.828830   -0.512138
    0.529921    0.611381    0.587704
    0.128396    0.692452   -0.709947
    0.987354    0.135660   -0.082024
   -0.757944   -0.645548    0.093748
   -0.007603    0.284407    0.958674
    0.590707   -0.673368   -0.444568
   -0.287819   -0.856113    0.429221
    0.032507   -0.956768   -0.289030
   -0.679308   -0.625009   -0.384583
    0.980007    0.187301    0.067110
   -0.746676    0.200442    0.634270
    0.930949   -0.074864   -0.357393
    0.839657   -0.046463   -0.541126
   -0.066880   -0.644988   -0.761261
    0.080239   -0.717158    0.692276
    0.043682    0.949223    0.311558
   -0.412612   -0.728681    0.546603
    0.472797    0.556253   -0.683408
   -0.974823    0.211781    0.069771
    0.053562   -0.224969   -0.972893
    0.077144   -0.836672    0.542244
    0.983913   -0.069786   -0.164451
   -0.492381   -0.396334    0.774907
    0.146717    0.221918   -0.963964
    0.587531    0.664241    0.462160
    0.069685   -0.733334   -0.676287
   -0.114386    0.782634    0.611882
    0.111282   -0.645896   -0.755271
   -0.942743   -0.230581    0.240974
    0.018307   -0.320333   -0.947128
   -0.058701   -0.786070    0.615344
   -0.547333   -0.159058   -0.821661
   -0.739180    0.662860   -0.119291
    0.658456   -0.580112   -0.479485
   -0.395778    0.358432    0.845509
   -0.364219   -0.740193   -0.565207
    0.089937    0.584947    0.806070
    0.126580    0.274755   -0.953146
    0.484700    0.603944    0.632706
    0.136295   -0.379298   -0.915181
   -0.690710    0.683429    0.236315
    0.741969   -0.636680   -0.210049
   -0.827160   -0.452188    0.333665
   -0.059598   -0.319979   -0.945548
    0.486414   -0.270904    0.830670
    0.774042    0.606281   -0.182435
    0.079376   -0.111383    0.990602
   -0.207233    0.187380   -0.960179
    0.594376   -0.670159    0.444526
    0.234286   -0.093436   -0.967667
    0.654756    0.278850    0.702522
   -0.224083    0.878915   -0.421065
    0.458902   -0.845830    0.271994
   -0.961026   -0.174908   -0.214094
    0.565595   -0.819767   -0.089911
   -0.422895    0.719313   -0.551134
    0.363490   -0.931476   -0.015088
    0.882728    0.440461   -0.163659
   -0.247438    0.511504    0.822884
    0.580744   -0.661812    0.474068
