 Created on  4Sep2024 at 00:35:28 
    14    14     6
  2352   100
  201.000000
    0.524129    0.309847    0.793274
   -0.284206   -0.335209   -0.898255
    0.794275    0.033458    0.606637
   -0.778343    0.532739   -0.332221
    0.640477   -0.431442    0.635332
    0.014246    0.094139   -0.995457
   -0.294919   -0.229350    0.927589
   -0.064286    0.848675   -0.524993
   -0.253548   -0.810504    0.528011
    0.052537    0.597795   -0.799925
   -0.192638   -0.469261    0.861792
    0.614072    0.521669   -0.592265
   -0.913290    0.388815    0.121342
    0.181241   -0.726580   -0.662747
   -0.349393   -0.158776    0.923426
    0.334266    0.547061   -0.767457
   -0.783662   -0.549524    0.289650
    0.773327    0.510118   -0.376490
   -0.482513   -0.723435    0.493784
   -0.088644    0.303954   -0.948554
   -0.081589   -0.392630    0.916070
    0.420827   -0.096194   -0.902026
   -0.630798   -0.456785    0.627250
   -0.469609    0.639841   -0.608334
    0.816463   -0.172665    0.550977
   -0.441679   -0.711154   -0.546973
    0.451677    0.184716    0.872850
    0.079304   -0.469902   -0.879149
   -0.136354    0.413246    0.900353
    0.458238    0.249492   -0.853095
   -0.423709   -0.168526    0.889983
   -0.472412   -0.214894   -0.854779
    0.871920    0.028702    0.488806
   -0.661539   -0.385271   -0.643376
    0.156510   -0.033679    0.987102
    0.108670   -0.237209   -0.965362
    0.124905   -0.589038    0.798394
    0.262711    0.681659   -0.682879
   -0.607358   -0.348303    0.714003
    0.562945    0.000614   -0.826494
   -0.429080    0.176902    0.885774
    0.065185    0.639591   -0.765947
   -0.653856   -0.390059    0.648326
    0.567442    0.180329   -0.803425
   -0.741205   -0.248666    0.623523
    0.623054    0.046768   -0.780779
   -0.480994   -0.494871    0.723704
   -0.454768    0.362823   -0.813354
    0.012381    0.012198    0.999849
   -0.367212   -0.565440   -0.738535
    0.260508    0.480753    0.837265
   -0.322462    0.087776   -0.942504
    0.388958    0.127515    0.912388
   -0.774232   -0.610419   -0.167194
    0.478393    0.856703   -0.192874
   -0.132245   -0.904653   -0.405111
   -0.500621    0.038940    0.864790
    0.735638    0.011713   -0.677274
    0.569418    0.546895    0.613734
    0.293717    0.100700   -0.950573
   -0.046078   -0.902848    0.427484
   -0.217956    0.744539   -0.630996
   -0.182581    0.245956    0.951930
   -0.259214   -0.088871   -0.961722
    0.155830   -0.433610    0.887525
   -0.132827    0.387347   -0.912315
   -0.743590   -0.499882    0.444062
    0.930342    0.137083   -0.340107
   -0.651615   -0.107945    0.750830
    0.550248   -0.271598   -0.789596
   -0.462391   -0.133242    0.876608
    0.891091    0.185443   -0.414208
   -0.900241    0.400632    0.170469
    0.739525    0.606736    0.291503
   -0.291446   -0.453970    0.842004
    0.822747   -0.011953   -0.568282
    0.331633   -0.287563    0.898514
    0.278111   -0.118975   -0.953152
   -0.703864    0.017481    0.710120
    0.536301    0.079013   -0.840320
    0.299609    0.311725    0.901699
   -0.750973   -0.570702   -0.332174
    0.941933    0.014245    0.335500
   -0.322125   -0.571987   -0.754365
   -0.571460    0.447028    0.688186
    0.672228   -0.277482   -0.686377
   -0.533982   -0.219442    0.816522
    0.071961    0.142919   -0.987115
    0.325937   -0.281314    0.902567
   -0.558720   -0.136075   -0.818117
    0.980841   -0.183168    0.066337
   -0.887625   -0.280049   -0.365643
   -0.071247    0.488936    0.869405
    0.606833   -0.338095   -0.719337
   -0.430304   -0.709682    0.557844
    0.287190    0.481865   -0.827845
   -0.852210    0.418833    0.313556
    0.242104    0.311272   -0.918964
   -0.515320   -0.072364    0.853937
    0.417578    0.608597   -0.674713
   -0.669723   -0.685727   -0.285045
    0.561376    0.740054   -0.370375
   -0.934129   -0.292746    0.204214
    0.968932    0.234899   -0.077411
   -0.697786    0.189932    0.690667
    0.893084   -0.417999   -0.166365
   -0.404125    0.107326    0.908386
   -0.296327   -0.323296   -0.898705
    0.343056    0.354060    0.870031
    0.028797    0.281500   -0.959129
   -0.071949    0.232777    0.969865
    0.302087   -0.282712   -0.910394
   -0.847849   -0.523916   -0.081631
    0.625431   -0.431821   -0.649897
   -0.403897    0.231900    0.884923
   -0.007525   -0.442924   -0.896527
    0.556432   -0.162499    0.814848
   -0.462555   -0.154453   -0.873033
    0.478310    0.140516    0.866877
    0.209661   -0.051194   -0.976433
