Material   T_exp     T_MC    T_MC*    S    Error
Ba2NiWO6 48 23 46 1 4.2
BaMn2As2 625 460 644.0 2.5 3.04
BaMn2Bi2 387.2 238 333.2 2.5 13.9
BaNi2As2O8 18.5 11 22 1 18.9
Bi2CuO4 50 17.5 52.5 0.5 5
BiFeO3 650 431 603.4 2.5 7.17
Ca3Ru2O7 56 30 60 1 7.1
CaMn2Sb2 85 69 115 1.5 35.3
CaMn7O12 90 61 122 1 35.5
CaMnBi2 270 209 292.6 2.5 8.4
CoO 289 201 335 1.5 15.9
CoPS3 120 61 101.66 1.5 15.3
Cr2O3 308 194 323.33 1.5 4.97
Cr2TeO6 93 53 88.33 1.5 5.02
Cr2WO6 45 27 45 1.5 0.0
CrBr3 32 20 33.33 1.5 4.2
CrCl2 20 15 22.50 2 12.5
CrCl3 14 10 16.6 1.5 18.6
CrI3 61 39 65 1.5 6.6
CuFeO2 11 7.5 10.5 2.5 4.5
CuO 213 72 216 0.5 1.4
EuO 69.15 52 66.86 3.5 3.3
EuS 16.57 13 16.71 3.5 0.8
Fe2O3 960 730 1022 2.5 6.4
FeCl2 23.55 11.5 23 1 2.3
FeF2 78.4 55 82.5 2 5.2
FeO 198 148 222 2 12.1
FePS3 120 91 136.5 2 13.8
FePSe3 110 75 112.5 2 2.3
FePt3 170 104 167.03 1.65 1.8
HoFeO3 647 456 638.4 2.5 1.3
KCoF3 114 33 99 0.5 13.2
KCuF3 39 15 45 0.5 15.4
La2CoO4 275 161 268.3 1.5 2.4
La2NiO4 328 220 440 1 34.1
LaFeO3 738 504 705.6 2.5 4.4
LaMnO3 139.5 101 151.5 2 8.6
LaVO3 150 70.0 140.0 1 6.7
LiFePO4 50 41 61.5 2 23.0
LuMnO3 87.5 71 106.5 2 21.7
MnBi 630 394 591 2 6.2
MnBi2Te4 24 16 22.4 2.5 6.67
MnF2 67 48 67.2 2.5 0.3
MnO 117 79 110.6 2.5 5.47
MnO2 92 63 105 1.5 14.1
MnPS3 78 61 85.4 2.5 9.5
MnPSe3 74 52 72.8 2.5 1.6
MnS 152 105 147 2.5 3.29
MnS2 48 25 35 2.5 27.1
MnTe 310 251 351.4 2.5 13.35
MnTiO3 65 45 63 2.5 3.1
MnWO4 13.5 9.0 12.6 2.5 6.7
NdFeO3 693 463 648.2 2.5 6.5
NiBr2 52 28 56 1 7.7
NiCl2 52.3 36 72 1 37.7
NiF2 73.2 42 84 1 14.75
NiO 523 310 620 1 18.54
PrFeO3 707 471 659.4 2.5 6.7
Rb2MnF4 38.4 33 46.2 2.5 20.3
RbMnCl3 94 69 96.6 2.5 2.8
RbMnF3 82.6 54 75.6 2.5 8.5
RbNiF3 133 79 158 1 18.8
Sr2NiWO6 54 26 52 1 3.7
SrMnBi2 290 219 306.6 2.5 5.7
SrMnSb2 297 189 283.5 2 4.5
TbFeO3 681 456 638.4 2.5 6.2
TmFeO3 635 442 618.8 2.5 2.6
YbFeO3 627 440 616.0 2.5 1.75
YbMnBi2 290 203 284.2 2.5 2.0
YbMnSb2 345 266 372.4 2.5 7.94
YFeO3 644.5 445 623 2.5 3.3
YMnO3 70 40 60 2 14.3
YVO3 118 59 118 1 0.0
